Case Number,Year,Type,Country,Area,Location,Activity,Sex,Injury,Fatal,Species
2006.06.15,2006,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Injured,N,2' to 3' shark
2006.06.07,2006,Unprovoked,USA,South Carolina,"Coligny Beach, Hilton Head, Beaufort County",Playing,F,Injured,N,3' to 4' shark
2006.06.05,2006,Unprovoked,AUSTRALIA,South Australia,Waitpinga,Surfing,M,No injury,N,14' white shark
2006.05.31,2006,Unprovoked,USA,Hawaii,O'ahu,Spearfishing,M,Injured,N,"Tiger shark, 8' to 12'"
2006.05.28,2006,Provoked,USA,Hawaii,French Frigate Shoals,Tagging sharks,0,No injury,N,"Tiger shark, 15' female"
2006.05.27,2006,Unprovoked,USA,Hawaii,"North Shore, O'ahu",Surfing,M,No injury,N,
2006.05.24,2006,Provoked,USA,Hawaii,Lanai,Spearfishing,M,Bitten,N,"Grey reef shark, 5' to 8' "
2006.05.21,2006,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Surfing,M,Injured,N,
2006.05.19,2006,Unprovoked,USA,Guam,Gun Beach,Scuba diving,F,Injured,N,"Tiger shark, 10' to 12'"
2006.05.10,2006,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",,M,Injured,N,
2006.05.04,2006,Unprovoked,USA,Florida,"Hutchinson Island, St. Lucie County",Swimming,F,Injured,N,
2006.05.02,2006,Provoked,AUSTRALIA,Queensland,"Moffat Beach, Caloundra",Snorkeling,M,Injured,N,"Wobbegong shark, 2 m "
2006.04.21,2006,Unprovoked,USA,Florida,"Sebastian Inlet, Brevard County",Surfing,M,Bitten,N,
2006.04.19,2006,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Standing,F,Injured,N,
2006.04.13,2006,Provoked,USA,Florida,"Port of the Islands, Collier County",Fishing,M,Injured,N,"Bull shark, 4' to bull shark"
2006.04.11,2006,Unprovoked,AUSTRALIA,New South Wales,Newcastle Beach,Surfing,M,Injured,N,"Bronze whaler shark, a  juvenile "
2006.04.09.b,2006,Unprovoked,SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,Body boarding,M,Bitten,N,"Raggedtooth shark, 2.5 m to 3 m "
2006.04.09.a,2006,Unprovoked,BRAZIL,Pernambuco,Piedade,Swimming,M,Bitten,N,Tiger shark
2006.04.03,2006,Unprovoked,USA,Florida,"Marco Island, Collier County",Wading,M,Injured,N,
2006.03.28.R,2006,Unprovoked,Sierra Leone,Western Area,"Lumely Beach, Freetown",Fishing,M,Fatal,Y,"3 m, 600-kg shark"
2006.03.23,2006,Unprovoked,USA,Hawaii,"Leftovers, near Waimea Bay, O'ahu",Surfing,F,Injured,N,"Tiger shark, 10'  "
2006.03.19,2006,Unprovoked,FIJI,Vitu Levu,Sigatoka,Surfing,M,Injured,N,"Tiger shark, 5' "
2006.03.15,2006,Unprovoked,AUSTRALIA,New South Wales,"Bondi, Sydney",Surfing,M,No injury,N,"Bronze whaler shark, 2 m"
2006.02.27,2006,Unprovoked,USA,Hawaii,"Makena, Maui",Standing,F,Injured,N,5' to 7' shark
2006.02.13,2006,Unprovoked,AUSTRALIA,Queensland,"Golden Beach, Caloundra",Wading,M,Injured,N,
2006.02.12.b,2006,Unprovoked,AUSTRALIA,Queensland,"Point Vernon, Hervey Bay",Swimming,M,Injured,N,
2006.02.12.a,2006,Boat,AUSTRALIA,South Australia,"Brighton Beach, Adelaide",Fishing,M,No injury,N,4.5 m white shark
2006.02.08,2006,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Surfing,M,Bitten,N,Raggedtooth shark
2006.02.01.b,2006,Unprovoked,TONGA,Vava'u,Tuanuku,Swimming,F,Fatal,Y,Tiger shark
2006.02.01.a,2006,Boat,USA,Hawaii,"Off Pu'u Ola'l, Makena, Maui",Kayaking,M,No injury,N,12' to 18' shark
2006.01.28.R,2006,Boat,ATLANTIC OCEAN,300 miles from Antigua,,Competing in the Woodvale Atlantic Rowing Race,M,No injury,N,12' shark
2006.01.25,2006,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Coffee Bay,Spearfishing,M,Bitten,N,
2006.01.23,2006,Boat,ATLANTIC OCEAN,800 miles from land,,Competing in the Woodvale Atlantic Rowing Race,F,No injury,N,
2006.01.18,2006,Unprovoked,USA,California,"Santa Cruz, Santa Cruz County",Night Surfing,M,No injury,N,
2006.01.15,2006,Unprovoked,AUSTRALIA,Western Australia,"Off City Beach, Perth",Scuba diving,M,Injured,N,3.5 m white shark
2006.01.07,2006,Unprovoked,AUSTRALIA,Queensland,"Amity Point, North Stradbroke Island",Swimming,F,Fatal,Y,Bull shark
2006.01.04,2006,Unprovoked,USA,Florida,"Round Island Park, Indian River County",Surfing,M,Injured,N,4' shark
2006.01.01,2006,Unprovoked,SOUTH AFRICA,Western Cape Province,Soetwater,Diving for crayfish,M,Injured,N,Said to involve a 1.5 m shark
2005.12.24,2005,Unprovoked,USA,Oregon,"Tillamook Head, Clatsop County",Surfing,M,Injured,N,White shark
2005.12.21,2005,Unprovoked,USA,Hawaii,"Keawakapu Beach, Maui",Swimming,M,Bitten,N,Tiger shark
2005.12.20,2005,Boat,ATLANTIC OCEAN,600 nm west of the Canary Islands,,Competing in the Woodvale Atlantic Rowing Race,0,No injury,N,3 m shark
2005.12.11,2005,Unprovoked,AUSTRALIA,Queensland,St. Crispin Reef,Spearfishing,M,Bitten,N,Whitetip reef shark
2005.12.05.R,2005,Boat,AUSTRALIA,South Australia,"Middle Beach, 40 km north of Adelaide",Fishing,0,No injury,N,4 m white shark
2005.11.29.R,2005,Unprovoked,USA,Florida,"Cape San Blas, Gulf County",Surfing,M,Bitten,N,
2005.11.27,2005,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,Injured,N,4' shark
2005.11.25.c,2005,Boat,AUSTRALIA,Victoria,"6 km off Collendina, south of Melbourne",Fishing,0,No injury,N,3 m white shark
2005.11.25.b,2005,Unprovoked,AUSTRALIA,Victoria,Flinders,Surfing,M,Injured,N,1.8 m shark
2005.11.25.a,2005,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Surfing,M,Bitten,N,
2005.11.24,2005,Unprovoked,NEW CALEDONIA,Loyalty Islands,Maré,Spearfishing,0,Bitten,N,
2005.11.21,2005,Unprovoked,USA,Florida,"Jensen Beach, Martin County ",Surfing,M,Bitten,N,4' shark
2005.11.20,2005,Unprovoked,USA,Florida,"New Smyrna  Beach, Volusia County",Surfing,M,Injured,N,
2005.11.16.R,2005,Boat,NEW CALEDONIA,,,,0,No injury,N,4.5 m white shark
2005.11.15,2005,Provoked,SOUTH AFRICA,Eastern Cape Province,Aston Bay,Fishing for sharks,M,Injured,N,"Raggedtooth shark, 2.5m "
2005.11.12,2005,Unprovoked,USA,Florida,"New Smyrna  Beach, Volusia County",Surfing,M,Injured,N,6' shark
2005.11.02.b,2005,Unprovoked,USA,California,"Mavericks, Half Moon Bay, San Mateo County",Surfing,M,No injury,N,
2005.11.02.a,2005,Unprovoked,USA,California,"Ocean Beach, San Francisco, San Francisco County",Surfing,M,No injury,N,12' to 14' white shark
2005.10.29,2005,Unprovoked,USA,Florida,"Ponce de Leon Inlet, Volusia County ",Wading,M,Injured,N,2' to 3' shark
2005.10.25,2005,Unprovoked,ST. MAARTIN,Simpson Bay,Sunterra Beach,Standing,M,Injured,N,2' shark
2005.10.22,2005,Unprovoked,SOUTH AFRICA,Western Cape Province,Uilenkraalsmond (near Gansbaai),Standing / Surfing,M,Bitten,N,3 m shark
2005.10.21,2005,Unprovoked,USA,California,"Klamath River mouth, Del Norte County",Surfing,M,No injury,N,White shark
2005.10.19,2005,Unprovoked,USA,California,"Salmon Beach, Sonoma County",Surfing,F,Bitten,N,18' white shark
2005.10.15,2005,Provoked,USA,Florida,"Ponce Inlet, Volusia County",Wading,M,Injured,N,
2005.10.13,2005,Unprovoked,USA,Hawaii,"Honokowai, Maui",Surfing,M,No injury,N,"Tiger shark, less than 10'"
2005.10.11,2005,Unprovoked,GRAND CAYMAN,East Wall,Jack McKenney's Canyon,Scuba diving,F,No injury,N,Caribbean reef sharks
2005.10.06,2005,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Treading water/ Surfing,M,Injured,N,
2005.10.03,2005,Unprovoked,BAHAMAS,Abaco Islands,Grand Cay,Diving,M,Injured,N,
2005.10.01,2005,Unprovoked,SOUTH AFRICA,Western Cape Province,"Sunny Cove, Fish Hoek",Surf-skiing,M,No injury,N,White shark
2005.09.27.R,2005,Unprovoked,AUSTRALIA,New South Wales,Arakoon's Little Bay,Surfing,M,No injury,N,"Tiger shark, 3 m "
2005.09.24,2005,Unprovoked,AUSTRALIA,South Australia,Kangaroo Island,Surfing,M,Injured,N,14' to 16' white shark
2005.09.23,2005,Unprovoked,AUSTRALIA,Western Australia,"Scarborough Beach, Perth",Surfing,M,No injury,N,Bronze whaler shark
2005.09.20,2005,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Body surfing,F,Injured,N,3' to 4' shark
2005.09.11,2005,Unprovoked,USA,South Carolina,Folly Beach,Surfing,M,Fatal,Y,
2005.09.07,2005,Unprovoked,AUSTRALIA,New South Wales,"Park Beach, Coff's Harbour",Standing,M,Injured,N,
2005.09.05,2005,Unprovoked,USA,North Carolina,"North Topsail Beach, Onslow County",Wading,F,Severed,N,Bull shark
2005.09.04.a,2005,Unprovoked,AUSTRALIA,South Australia,"Fishery Bay, Eyre Peninsula",Surfing,M,Injured,N,4 m [13'] white shark
2005.09.02.b,2005,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Standing / Surfing,M,Bitten,N,
2005.09.02.a,2005,Provoked,THAILAND,,On deck of fishing trawler 100 nautical miles offshore,Removing shark from net,M,Fatal,Y,"2 m [6.75'] shark, 200-kg shark T"
2005.08.24.b,2005,Unprovoked,AUSTRALIA,South Australia,Glenelg ,Scuba diving,M,Fatal,Y,White shark
2005.08.24.a,2005,Unprovoked,USA,California,"Scripps, LaJolla, San Diego County",Surfing,M,Injured,N,juvenile white shark
2005.08.21,2005,Unprovoked,USA,South Carolina,"34th Avenue North, Myrtle Beach, Horry County",Swimming,M,Bitten,N,Possibly a sandbar shark or small blacktip shark
2005.08.19,2005,Unprovoked,USA,Texas,Crystal Beach (east of Galveston),Walking,M,Bitten,N,
2005.08.12,2005,Unprovoked,USA,North Carolina,"Carolina Beach off Texas Avenue, New Hanover County",Surfing,M,Injured,N,1.8 m [6'] shark
2005.08.06,2005,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Swimming,M,Injured,N,
2005.07.27,2005,Unprovoked,USA,Florida,"Off Zelda Boulevard, Daytona Beach, Volusia Countyy",Wading,F,Injured,N,
2005.07.23,2005,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",Surfing,M,Injured,N,
2005.07.17.a,2005,Provoked,CHINA,Shanghai,"Ocean World, Changfeng Park",Scuba diving in aquarium tank,M,Injured,N,3.5 m [11.5']shark
2005.07.15,2005,Unprovoked,USA,North Carolina,"Holden Beach, Brunswick County",Swimming,M,Injured,N,[4.5' to 5'] shark
2005.07.13,2005,Unprovoked,USA,Texas,"Port Bolivar, Galveston County",Holding onto an inflatable boat,F,Bitten,N,[4' to 5']
2005.07.01,2005,Unprovoked,USA,Florida,"Boca Grande, Lee County",Standing,M,Bitten,N,
2005.06.27,2005,Unprovoked,USA,Florida,"Cape San Blas, Gulf County",Fishing,M,Severed,N,Bull shark
2005.06.25,2005,Unprovoked,USA,Florida,"Destin, Walton County",Swimming with boogie board,F,Fatal,Y,1.8 m [6'] bull shark
2005.06.22,2005,Unprovoked,VANUATU,Malampa Province,Atchin Island off Malakula,Swimming,F,Fatal,Y,"On 8/13/2005 anglers from New Zealand caught a 2.8 m [9'3""], 140-kg [309-lb] shark at the same spot. It was believed this was the same shark that killed Alysha"
2005.06.21,2005,Unprovoked,MEXICO ,Baja California,San Luis beach,Surfing,M,Bitten,N,
2005.06.16,2005,Unprovoked,USA,Florida,"Howard E. Futch Memorial Park at Paradise Beach, Brevard County",Swimming,M,Bitten,N,"Unknown, but it was reported that a shark tooth was recovered from the wound"
2005.06.13,2005,Unprovoked,SOUTH KOREA,South Ch'ungch'ong Province,Dando/Kaeui Island ,Diving,F,Bitten,N,3 m [10'] white shark
2005.06.07,2005,Unprovoked,USA,South Carolina,"Kiawah Island, Charleston County",Boogie boarding,F,Injured,N,
2005.06.04,2005,Unprovoked,SOUTH AFRICA,Western Cape Province,Miller's Point,Spearfishing (Free diving),M,Fatal,Y,White shark
2005.06.02,2005,Unprovoked,USA,Texas,"Mustang Island, Corpus Christi",Wading,M,Injured,N,
2005.05.28,2005,Unprovoked,USA,Florida,Daytona Beach Shores,Swimming,M,Bitten,N,"""small shark"""
2005.05.27,2005,Unprovoked,USA,Florida,"Sand Key Beach, Clearwater, Pinellas County",Crouching in 2' of water,F,Bitten,N,"18"" to 36"" shark"
2005.05.25,2005,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Kei River Mouth,Surfing,M,Injured,N,Raggedtooth shark
2005.05.15,2005,Unprovoked,AUSTRALIA,Queensland,50 km east of Townsville,Spearfishing,M,Severed,N,Blacktip shark
2005.05.14,2005,Unprovoked,USA,Hawaii,"North Kihei, Maui",Kayaking,0,No injury,N,"Tiger shark, 8' to 9' "
2005.05.03,2005,Unprovoked,MADAGASCAR,,,Fishing,M,Bitten,N,2.5 m shark
2005.05.02.R,2005,Sea Disaster,USA,South Carolina,Off Sullivans Island,Sea Disaster,M,No injury,N,
2005.05.02,2005,Unprovoked,USA,Hawaii,"Noreiga's, Maui",Surfing,M,No injury,N,"Tiger shark, 3 m [10']"
2005.04.25,2005,Provoked,AUSTRALIA,New South Wales,Bermagui,Fishing,M,Injured,N,"Mako shark, 1.5 m [5'] "
2005.04.17.R,2005,Unprovoked,AUSTRALIA,New South Wales,Crookhaven,,0,Bitten,N,
2005.04.16.b,2005,Unprovoked,AUSTRALIA,Northern Territory,Bremer Island,Spearfishing,M,Injured,N,2 m [6.75'] copper shark
2005.04.16.a,2005,Unprovoked,AUSTRALIA,New South Wales,Bronte Beach,Surfing,M,No injury,N,Bronze whaler shark
2005.04.13,2005,Unprovoked,USA,Florida,"Crescent Beach, Sarasota County",Wading,F,Bitten,N,1.8 m [6'] blacktip shark
2005.04.07,2005,Unprovoked,USA,Texas,"Isla Blanca Park, South Padre Island, Cameron County",Surfing,M,Bitten,N,
2005.04.06,2005,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",,F,Injured,N,small hammerhead shark
2005.03.28,2005,Unprovoked,SOUTH AFRICA,Western Cape Province,Noordhoek,Surfing,M,Injured,N,4 m [13'] shark
2005.03.27.R,2005,Unprovoked,AUSTRALIA,New South Wales,,Surfing,M,No injury,N,
2005.03.25,2005,Unprovoked,VENEZUELA,,Punta Caracas,Surfing,M,Bitten,N,
2005.03.19,2005,Unprovoked,AUSTRALIA,Western Australia,"Wreck Point, Abrolhos Islands",Snorkeling,M,Fatal,Y,6 m [20'] white shark
2005.03.12,2005,Provoked,USA,New Mexico,"Albuquerue Aquarium, Albuquerue",Diving in aquarium display tank,M,Injured,N,"Sandtiger shark, 2.1 m [7'] "
2005.03.09,2005,Provoked,NEW ZEALAND,North Island,"Waiapu River mouth , East Cape",Fishing,M,No injury,N,"Bronze whaler shark, 4.3 m [14'] "
2005.03.05,2005,Unprovoked,SOLOMON ISLANDS,Santa Isabel Province,,Diving,M,Bitten,N,
2005.02.26,2005,Unprovoked,AUSTRALIA,Queensland,Brisbane River,Swimming,M,Bitten,N,Bull shark
2005.02.22,2005,Provoked,USA,Florida,"Long Key, Monroe County",Spearfishing,M,Bitten,N,"Nurse shark, 3' "
2005.02.16,2005,Unprovoked,USA,Hawaii,"Rocky Point, north shore of O'ahu",Surfing,M,No injury,N,"Tiger shark, 2.4 m [8']"
2005.02.13,2005,Unprovoked,USA,Florida,Fort Lauderdale,Spearfishing,M,Bitten,N,1.8 m [6'] Caribbean reef shark
2005.02.04,2005,Unprovoked,BRAZIL,Bahia,Ilhéus,Surfing,M,Injured,N,
2005.01.20,2005,Unprovoked,CUBA,Santiago de Cuba Province,Uvero,Swimming,M,Severed,N,3 m [10'] shark
2005.01.19,2005,Provoked,AUSTRALIA,Victoria,Port Phillip Bay,Spearfishing,M,No injury,N,3 m shark
2005.01.14,2005,Provoked,AUSTRALIA,Victoria,Blairgowrie,Attempting to drive shark away from sailing regatta,0,No injury,N,"Bronze whaler shark, 2 m to 3 m [6.75' to 10']  "
2005.01.08,2005,Unprovoked,NEW ZEALAND,North Island,Taupiri Bay,Fishing from a kayak,M,No injury,N,White shark
2004.12.16,2004,Unprovoked,AUSTRALIA,South Australia,"West Beach, Adelaide",Scurfing (surfboard being  towed behind a boat),M,Fatal,Y,4.5 m & 5 m white shark 
2004.12.11,2004,Unprovoked,AUSTRALIA,Queensland,Opal Reef,Spearfishing,M,Fatal,Y,Bull shark
2004.11.27,2004,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Surfing,M,Injured,N,Raggedtooth shark
2004.11.26,2004,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Gonubie,Playing,M,Injured,N,Raggedtooth shark
2004.11.15,2004,Unprovoked,SOUTH AFRICA,Western Cape Province,"Fish Hoek, False Bay",Swimming,F,Fatal,Y,6 m [20'] white shark
2004.11.11.b,2004,Unprovoked,USA,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",Surfing,0,Injured,N,5.5 m [18'] white shark
2004.11.11.a,2004,Unprovoked,VANUATU,Malampa Province,Malakula (Malakula Island),Snorkeling,M,Bitten,N,
2004.11.00,2004,Unprovoked,NEW CALEDONIA,North Province,Koumac,Diving,0,Bitten,N,3 m shark
2004.10.31,2004,Unprovoked,CUBA,Camaguey Province,Santa Lucia,Diving,M,Bitten,N,2.5 m [8.25'] bull shark
2004.10.30.a,2004,Unprovoked,SOUTH AFRICA,Western Cape Province,Gansbaai,Chumming for white sharks,M,Injured,N,2 m [6.75'] white shark
2004.10.21,2004,Unprovoked,AUSTRALIA,New South Wales,Stockton Beach,Surfing,M,Injured,N,"Bronze whaler shark, 2.4 m [8'] "
2004.10.10,2004,Unprovoked,USA,California,"Limantour Beach, Point Reyes National Seashore",Surfing,M,Bitten,N,1.8 m to 2.4 m [6' to 8'] white shark
2004.10.09.b,2004,Unprovoked,USA,Hawaii,Moloka'i,Spearfishing,M,Bitten,N,"Tiger shark, 2.4 m to 3.7 m [8' to 12'] "
2004.10.09.a,2004,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Jeffreys Bay,Surfing,M,Injured,N,"Raggedtooth shark, 1.5 to 2 m [5' to 6.75']"
2004.10.06,2004,Unprovoked,REUNION,Conservatória District,"P' tit Paris, Saint-Pierre",Body boarding,M,Severed,N,Thought to involve a 2.5 m bull or tiger shark
2004.10.02,2004,Unprovoked,USA,California,"Pismo Beach, San Luis Obispo County",Surfing,M,No injury,N,
2004.10.01,2004,Unprovoked,USA,California,"Lifeguard Tower 16, Huntington Beach, Orange County",Surfing,M,No injury,N,
2004.09.25,2004,Boat,AUSTRALIA,Queensland,Batt Reef,Spearfishing/ filming,0,No injury,N,"Tiger shark, 3 m [10'] "
2004.09.20,2004,Unprovoked,USA,Oregon,Gold  Beach,Surfing,M,Bitten,N,White shark
2004.09.08,2004,Unprovoked,BRAZIL,Pernambuco,"Pina, Recife",Swimming,0,Fatal,Y,
2004.09.04,2004,Unprovoked,USA,South Carolina ,"North of Apache Pier, Myrtle Beach, Horry County",Jumping,F,Bitten,N,2.4 m [8'] shark
2004.08.29,2004,Unprovoked,USA,Florida,"New Smyrna Beach / Cape Canaveral  National Seashore, Brevard County",Walking,F,Bitten,N,
2004.08.21,2004,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Bathing,M,Bitten,N,"Tiger shark, 1.5 m "
2004.08.20,2004,Unprovoked,USA,California,"204s, San Clemente, Orange County",Surfing,M,Bitten,N,0.9 m to 1.2 m [3' to 4'] white shark
2004.08.15,2004,Unprovoked,USA,California,"Kibesillah, Mendocino County",Diving,M,Fatal,Y,4.9 m to 5.5 m [16' to 18'] white shark
2004.08.06,2004,Unprovoked,USA,Florida,"Big Bayou, St. Petersburg, Pinellas County ",Swimming,M,Bitten,N,1.2 m [4'] shark
2004.08.03,2004,Unprovoked,AUSTRALIA,New South Wales,Byron Bay,Spearfishing,M,Injured,N,
2004.08.00,2004,Boat,SOUTH AFRICA,KwaZulu-Natal,Park Rynie,Fishing,0,No injury,N,3 m to 4 m [10' to 13']  white shark
2004.07.31,2004,Unprovoked,USA,Florida,"Cocoa  Beach, Brevard County",Surfing,F,Bitten,N,
2004.07.30,2004,Unprovoked,RUSSIA,Kuril Islands in the Pacific,"Kunashir Island, 70 km from northern Japan",Diving & fishing with net,M,Bitten,N,White shark
2004.07.28,2004,Unprovoked,USA,North Carolina,"Rodanthe, Dare County",Surfing,F,Bitten,N,
2004.07.27.b,2004,Unprovoked,USA,North Carolina,"Carolina Beach, New Hanover County",Swimming,F,Injured,N,1.8 m [6'] shark
2004.07.27.a,2004,Unprovoked,USA,Texas,Galveston Island,Swimming,F,Bitten,N,1.2 m to 1.5 m [4' to 5'] shark
2004.07.25,2004,Unprovoked,USA,Texas,"Bryan Beach, Brazoria County",Wading / fishing & carrying a bag of fish,M,Severed,N,Bull shark
2004.07.19.R,2004,Boat,AUSTRALIA,Western Australia,"7 km off Trigg surf beach, Perth",Fishing,0,No injury,N,4 m [13'] white shark
2004.07.15,2004,Unprovoked,JAPAN,Wakayama Prefecture,Susami,Fishing for squid aboard the trawler Shikishima-Maru when the shark leapt into the boat,M,Injured,N,"Longfin mako shark, 3.5 m [11.5'], 350-kg [772-lb] "
2004.07.10,2004,Unprovoked,AUSTRALIA,Western Australia,"Lefthanders Beach, Margaret River",Surfing,M,Fatal,Y,"2 sharks, 4.5 m & 3 m "
2004.07.02.b,2004,Unprovoked,EGYPT,Sinai Peninsula,The lagoon at Dahab,Snorkeling,F,Severed,N,"""black tipped"" shark"
2004.07.02.a,2004,Unprovoked,USA,Alabama,"Gulf Shores Beach, Baldwin County",Wading,M,Injured,N,4' to 5' shark
2004.06.26.b,2004,Unprovoked,USA,California,"San Onofre State Beach, San Diego County",Surfing,M,No injury,N,"9'2"" white shark"
2004.06.14,2004,Unprovoked,USA,Florida,"Disney / Vero Beach, Indian River County",In water with diving seabirds,F,Bitten,N,
2004.06.10.b,2004,Unprovoked,AUSTRALIA,Western Australia,Bunbury,Body boarding,M,Injured,N,"Bronze whaler shark, 2.5 m [8.25'] "
2004.06.10.a,2004,Unprovoked,USA,Florida,"Daytona Beach Shores, Volusia County",Swimming,M,Injured,N,1.2 m [4'] shark
2004.06.02,2004,Unprovoked,SOUTH AFRICA,Western Cape Province,Dyer Island,"Swimming, poaching perlemoen",M,Fatal,Y,White shark
2004.05.29,2004,Unprovoked,USA,Texas,"Pirate's Beach, Galveston Island",Wading,M,Injured,N,0.9 m to 1.5 m [3' to 5'] shark
2004.05.23.b,2004,Unprovoked,BRAZIL,Pernambuco,Piedade Beach,Swimming,M,Severed,N,Bull shark
2004.05.28,2004,Unprovoked,USA,California,"Salmon Creek, Sonoma County",Surfing,M,No injury,N,2.4 m to 3.7 m [8' to 12'] shark
2004.05.23.a,2004,Unprovoked,USA,Florida,"St. Augustine, St. John's County",Boogie-boarding / swimming,M,Injured,N,
2004.05.22.b,2004,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",,F,Bitten,N,
2004.05.22.a,2004,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Recife",Wading,F,Bitten,N,
2004.05.18,2004,Provoked,BAHAMAS,Abaco Islands,Green Turtle Cay,Free diving & spearfishing,M,Bitten,N,"1,5 m [5'] Caribbean reef shark (Carcharhinus  perezi)"
2004.05.04,2004,Unprovoked,USA,Texas,Channel between South Padre Island & Padre Island National Seashore,Tandem surfing,M,No injury,N,"Mako shark, 1.8 m [6']"
2004.05.01,2004,Unprovoked,BRAZIL,Pernambuco,Piedade ,Swimming,M,Fatal,Y,
2004.04.26,2004,Unprovoked,AUSTRALIA,New South Wales,"Latitude Reef, near Forster",Diving,M,Injured,N,"Wobbegong shark, 1.2 m [4'] k"
2004.04.22,2004,Boat,NEW ZEALAND,North Island,Motunui,Fishing,0,No injury,N,"White shark, 5.5 m [18']"
2004.04.13.b,2004,Unprovoked, TONGA,Nuku'alofa,30 nautical miles offshore,Five men on makeshift raft after their 10 m fishing boat  capsized and sank in rough seas. Survivors rescued after  7.5 hours in the water,M,Fatal,Y,small sharks
2004.04.07,2004,Unprovoked,USA,Hawaii,"Kahana Beach, Maui",Surfing,M,Fatal,Y,Tiger shark
2004.04.05,2004,Unprovoked,SOUTH AFRICA,Western Cape Province,"Surfers' Corner, Muizenberg, False Bay",Surfing,M,Severed,N,5 m [16.5'] white shark
2004.03.31.b,2004,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",,M,Bitten,N,
2004.03.31.a,2004,Unprovoked,USA,Florida,"Stuart Rocks, Martin County",Surfing,M,Injured,N,1.2 m [4'] bull shark
2004.03.29,2004,Unprovoked,BRAZIL,Pernambuco,Piedade Beach,Body boarding,M,Severed,N,bull shark
2004.03.28,2004,Unprovoked,USA,Florida,"Pelican Beach Park, Satellite Beach, Brevard County",Surfing,M,Bitten,N,bull shark
2004.03.27.b,2004,Unprovoked,REUNION,Saint-Benoît,Spot de la gare,Surfing,M,Bitten,N,2.5 m shark
2004.03.27.a,2004,Unprovoked,USA,Florida,"Sanibel Island, Lee County",Swimming,M,Injured,N,
2004.03.24,2004,Unprovoked,USA,Hawaii,Punaluu,Snorkeling,F,Injured,N,1.8 m [6'] shark
2004.03.22,2004,Unprovoked,NEW ZEALAND,North Island,Te Arai Point,Spearfishing,M,No injury,N,Bronze whaler shark
2004.03.16,2004,Unprovoked,USA,Hawaii,"Kalihiwai Beach, Kauai",Surfing,M,No injury,N,"Tiger shark, 2.4 m to 3 m [8' to 10'] "
2004.03.06,2004,Unprovoked,AUSTRALIA,Western Australia,5 nm off Cervantes,Spearfishing,M,Bitten,N,"Bronze whaler shark, 1.5 m [5'] "
2004.02.29,2004,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Recife",Swimming,M,Fatal,Y,
2004.02.26,2004,Unprovoked,NEW ZEALAND,"South Island, near Karitane north of Dunedin",South Beach,Surfing,M,Injured,N,2 m [6.75'] sevengill  shark
2004.02.21,2004,Unprovoked,AUSTRALIA,New South Wales,"Taree, Old Bar Beach",Swimming,M,Injured,N,
2004.02.14,2004,Unprovoked,EGYPT,,"Coral Bay, Sharm-el-Sheikh",Snorkeling,M,Fatal,Y,
2004.02.11,2004,Unprovoked,AUSTRALIA,New South Wales,Caves Beach,Snorkeling,M,Bitten,N,"60 cm [23.6""] blind or brown shark"
2004.01.25,2004,Unprovoked,AUSTRALIA,Western Australia,Binningup,Scuba diving,M,Bitten,N,4 m to 5 m [13' to 16.5'] white shark
2004.01.23,2004,Unprovoked,URUGUAY,Rocha,Ensenada de la Coronilla,Surfing,M,Injured,N,Possibily a  1.5 to 2 m sandtiger shark
2004.01.21.b,2004,Unprovoked,VENEZUELA,Anzoategui,"Playa Colorada Beach, Mochima National Park, only 200 m west of Santa Cruz Beach",Swimming,M,Bitten,N,"Bull shark, 1.65 m [5'5""] was speared & killed"
2004.01.21.a,2004,Unprovoked,VENEZUELA,Anzoategui,"Santa Cruz Beach, Mochima National Park, 250 km from Caracas",Spearfishing,M,Bitten,N,"Bull shark, 132-kg [291-lb] "
