,Case Number,Year,Type,Country,Area,Location,Activity,Sex,Injury,Fatal,Source,Month
5144,1911.11.08,1911,Invalid,USA,Florida,"Pensacola Bay, Escambia County",,M,"Cause of death undetermined. 3.6 m [11'9""] shark seen carrying body. Next day, shark was killed & Antoine's entire body was found in its gut.",Y,"The Sun, 7/13/1913; H.D. Baldridge, p.170",nov
5145,1911.10.26,1911,Unprovoked,USA,South Carolina,Off Charleston,Fell overboard from steamship Rio Grande,M,FATAL,Y,"Fresno Bee, 10/31/1911",oct
5146,1911.10.25,1911,Unprovoked,AUSTRALIA,Queensland,Great Barrier Reef,Diving,M,Calves bitten,N,"Cairns Post, 11/2/1911",oct
5147,1911.09.23,1911,Unprovoked,USA,Texas,Galveston Ship Channel,Jumped overboard to rescue companion,M,FATAL,Y,"The Sun, 7/13/1913; V.M. Coppleson (1962), p.249",sep
5148,1911.09.20,1911,Unprovoked,USA,Florida,"Pensacola Bay, Escambia County",Fell overboard & swimming,M,FATAL,Y,"The Sun, 7/13/1913; Washington Post, 9/21/1911; V.M. Coppleson (1962) p.249",sep
5149,1911.09.17,1911,Unprovoked,USA,Florida,"Pablo Beach, Jacksonville, Duval County",Bathing,M,Left arm & thigh bitten,N,"Sun, 7/13/1913; V.M. Coppleson (1962), p.249",sep
5150,1911.07.31.R,1911,Unprovoked,SPAIN,Málaga ,Ceuta,Bathing,M,FATAL,Y,C. Moore,jul
5151,1911.07.16.R,1911,Provoked,USA,Delaware,Delaware Lightship,Fishing,M,"Hooked shark bit his leg, knee to ankle PROVOKED INCIDENT",N,"Washington Post, 7/16/1911",jul
5152,1911.05.09,1911,Unprovoked,SOUTH AFRICA,Western Cape Province,Victoria Bay,Bathing,M,"FATAL, partial remains recovered",Y,"Cape Mercantile Advertiser, 5/16/1911; M. Levine, GSAF",may
5153,1911.05.01.R,1911,Provoked,USA,Texas,"Rockport, Aransas County",Fishing,M,Bitten on left leg by hooked shark PROVOKED INCIDENT,N,"Daily Advocate, 5/1/1911",may
5154,1911.05.01,1911,Unprovoked,SOUTH AFRICA,Western Cape Province,Victoria Bay,Swimming,M,FATAL,Y,"Cape Mercantile Advertiser, 5/2/1911, M. Levine, GSAF",may
5155,1911.04.08.R,1911,Boat,NEW ZEALAND,Chatham Islands,,Fishing,,"No injury to occupants, shark bit boat",N,"Grey River Argus, 4/8/1911",apr
5156,1911.03.29.R,1911,Unprovoked,AUSTRALIA,Torres Strait,Thursday Island,Swimming,M,FATAL,Y,"Northern Star, 3/29/1911",mar
5157,1911.01.04,1911,Sea Disaster,AUSTRALIA,Western Australia,Off Legendre Island,3-masted steel barque Glenbank foundered during a cyclone,M,Minor injuries,N,"Washington Post, 1/26/1913",jan
5160,1910.12.25.R,1910,Invalid,CROATIA, Primorje-Gorski Kotar County,Rijeka,,M,FATAL?,Y,C. Moore,dec
5161,1910.12.23.R,1910,Sea Disaster,AUSTRALIA,Western Australia,Fremantle,Shipwrecked pearling schooner,M,FATAL,Y,"Iowa City Citizen, 12/23/1910",dec
5162,1910.11.28,1910,Provoked,NORTH ATLANTIC OCEAN,Georges Bank,,Fishing,M,Right hand severely bitten by netted shark PROVOKED INCIDENT,N,"NY Times, 11/30/1910",nov
5163,1910.11.24,1910,Unprovoked,AUSTRALIA,Queensland,Mackay,Bathing,M,Foot bitten,N,"The Advertiser, 11/25/1910",nov
5164,1910.06.25.R,1910,Unprovoked,MEXICO,,LaBarra,Swimming,M,Leg bitten,N,"Indiana Evening Gazette, 9/25/1910",jun
5165,1910.06.08.R,1910,Sea Disaster,MOZAMBIQUE,Zambesi River,Portuguese territory,"Steamer Durao struck rock & filled, boats capsized, passengers & crew tried to swim to shore",,"FATAL, 3 passengers & 14 crew taken by sharks, captain, 1 passenger & 2 crew survived",Y,D. Davies,jun
5166,1910.05.16.R,1910,Invalid,USA,Alabama,"Off Fort Gaines, Dauphin Island, Mobile County","Unknown, their unoccupied yawlboat was recovered",M,Presumed drowned & bodies taken by sharks,N,"Atlanta Constitution, 5/17/1910, p.5",may
5167,1910.03.31,1910,Unprovoked,PANAMA,Colón Province,Cristobal,Fell overboard from USS cruiser Tacoma,M,FATAL,Y,"The Ogden Standard, 4/13/1910",mar
5168,1910.03.08,1910,Unprovoked,NEW ZEALAND,North Island,"Waikanae Beach, Gisborne",Swimming,M,Lacerations to foot,N,"Poverty Bay Herald, 3/9/1910",mar
5169,1910.03.00,1910,Invalid,USA,Hawaii,"Pearl Harbor, O'ahu","Hard hat diving, laying some charge of powder",M,No injury,N,"The Sun, 4/3/1910; Authenticity questioned by G.H. Balazs in J. Borg, p.70",mar
5170,1910.02.16,1910,Unprovoked,AUSTRALIA,Western Australia,Bunbury,Surf bathing,M,"Shoulder, back & leg bitten",N,"Western Mail, 2/26/1910",feb
5171,1910.01.26,1910,Unprovoked,AUSTRALIA,New South Wales,Newcastle Harbor,,M,FATAL,Y,"V.M. Coppleson (1962), p.245",jan
5174,1909.12.26.R,1909,Unprovoked,USA,Florida,"16 miles north of Fort Pierce Inlet, Indian River County ",,M,Severe lacerations to arm,N,"Washington Post, 12/26/1909",nov
5175,1909.12.15.R,1909,Unprovoked,AUSTRALIA,New South Wales,20 miles off Sydney,Fell overboard,M,FATAL,Y,"Star, 12/15/1909",dec
5176,1909.12.05,1909,Provoked,AUSTRALIA,New South Wales,Bondi,Fishing,M,3 fingers bitten by hooked shark PROVOKED INCIDENT,N,"The Advertiser, 12/9/1909",dec
5178,1909.09.04.R,1909,Provoked,USA,Delaware,"Lewes, Sussex County",Seine netting,M,Abrasion to leg from netted shark PROVOKED INCIDENT,N,"Gettysburg Times, 9/4/1909",sep
5179,1909.08.13,1909,Unprovoked,USA,Florida,"Pensacola Bay, Escambia County",Fell overboard from fishing schooner Halycon,M,FATAL,Y,"Laurel Ledger, 8/19/1909",aug
5180,1909.07.24,1909,Unprovoked,USA,New York,Rockaway,Fell overboard while fishing for sharks,M,Right leg bitten,N,"NY Times, 7/25/1909",jul
5181,1909.07.15,1909,Unprovoked,USA,Florida,"Panama City, Bay County",Swimming,M,Hip & thigh lacerated,N,"News Herald, 7/29/2001",jul
5182,1909.06.26.a.R,1909,Unprovoked,MEXICO,Guerrero,Zacatula,Bathing,F,FATAL,Y,"Adams County News, 6/26/1909",jun
5183,1909.06.26.b.R,1909,Unprovoked,SOUTH AFRICA,Western Cape Province,Cape Town,,M,Remains of soldier in uniform. Probable drowning & scavenging,Y,"Adams County News, 6/26/1909",jun
5184,1909.06.18,1909,Sea Disaster,AUSTRALIA,Queensland,"Middleton Reef, 300 nm from Brisbane","1446-ton Norwegian barque Errol, bound from Peru to Newcastle with 22 on board wrecked. Survivors shelterd on the wreck of the Annasona. Subsequently the Master, his wife & 4 children perished along with several crew. Survivors (5) were rescued 7/12/1909",M,"FATAL, only his legs, still in sea-boots, were recovered ",Y,"Australian Zoologist, viii., 1937, p.207",jun
5185,1909.04.27.R,1909,Provoked,SPAIN,Andalucia,"Puente Mayorga, San Roque, Cádiz",Fishing,M,Shark knocked him down after he grabbed it by the tail. No injury.   PROVOKED INCIDENT,N,"C. Moore, GSAF",apr
5186,1909.04.10,1909,Invalid,USA,Hawaii,"Pa'uwela, Maui",Reported swept away by waves while gathering opihi,F, Search party saw a large shark devour what appeared to be part of her body,Y,"J. Borg, pp.69-70; L. Taylor (1993), pp.94-95",apr
5187,1909.04.09.R,1909,Unprovoked,TUNISIA,Sfax,,Diving (Helmet) for sponges,M,FATAL,Y,"C. Moore, GSAF; Petit Paisien, 4/15/1909 ",apr
5188,1909.03.06,1909,Sea Disaster,SOUTH AFRICA,South Atlantic Ocean,Possession Island,Wreck of the 1308-ton Norwegian ship Auckland,F,FATAL,Y,"L. Green, GSAF",mar
5189,1909.01.17,1909,Invalid,,,Near the equator,Jumped overboard ,M,FATAL,Y,"Star, 3/18/1909",jan
5190,1909.01.00,1909,Invalid,ITALY,Sicily,"Off Capo San Croce, near Augusta (Catania)","On December 28, 1908, an earthquake, followed by tsunamis, destroyed coastal towns in Silcily and southern Italy, killing more than 100,000 people",," 3 unidentified bodies recovered (male, female & young girl) from gut of female  4.5 m [14'9""]  white shark caught in fishing net. They may have drowned in tidal wave following earthquake ",Y,MEDSAF,jan
5192,1908.12.31,1908,Unprovoked,SOUTH AFRICA,Western Cape Province,Stilbaai,Swimming,M,FATAL,Y,"Fairbridge Index, Cape Archives, M. Levine, GSAF",dec
5193,1908.12.16.R,1908,Unprovoked,MEXICO,Quintana Roo,,Swimming ashore from capsized boat,M,"FATAL, ""bitten in two""",Y,"Lowell Sun, 12/16/1908; V.M. Coppleson (1962), p.247; H.D. Baldridge, p.161",dec
5194,1908.09.21,1908,Unprovoked,AUSTRALIA,Torres Strait,Thursday Island,Fell from the jetty,M,FATAL,Y,"Northern Territory Times & Gazette, 9/25/1908",sep
5195,1908.09.05,1908,Unprovoked,USA,California,"Redondo, Los Angeles County",On fishing boat & trailing hand in the water,M,Lacerations to fingers,N,"Los Angeles Times, 9/6/1908, p.I6",sep
5196,1908.08.28.R,1908,Unprovoked,SPAIN,Galicia,Cape Finisterre,Fell overboard from P&O steamship Arabia,M,FATAL,Y,"Poverty Bay Herald, 10/14/1908",aug
5197,1908.07.18.R,1908,Invalid,SPAIN,Canary Islands,"Tazacorte, La Palma",,,Human remains recovered but shark involvement prior to death unconfirmed ,Y,"C. Moore, GSAF",jul
5198,1908.07.08.R,1908,Unprovoked,CROATIA,Adriatic Sea,Medola,Boating,F,"FATAL, lost a leg",Y,"A. De Maddalena; M. Zuffa (pers. Comm.), Anon. (1908); C. Moore, GSAF",jul
5199,1908.06.18,1908,Unprovoked,EGYPT,Gulf of Suez,Off Ras Gharib,The 168-ton Belmore foundered in heavy seas,M,FATAL,Y,"Bay of Plenty Times, 6/26/2008",jun
5200,1908.06.08,1908,Sea Disaster,USA,Georgia,,The British steamer Caribbee foundered,M,FATAL,Y,"New York Times, 6/15/1908",jun
5202,1908.05.13,1908,Sea Disaster,INDONESIA,Java,Jakarta Harbor,native boats sunk in storm,,FATAL,Y,"The Advertiser, 6/26/1908",may
5203,1908.05.10,1908,Invalid,USA,Florida," Marathon, Monroe County",,M,"FATAL, but shark involvement prior to death was not confirmed",Y,"Weekly Miami Metropolis, 5/11/1908",may
5204,1908.01.08,1908,Unprovoked,USA,Hawaii,"Mana, Kaua'i",Gathering fish stunned by dynamite,M,"FATAL, ""pulled below the surface'  ",Y,"C.H. Townsend, Bull. N.Y. Zoological Society, 11-12/1931",jan
5205,1907.12.21,1907,Unprovoked,AUSTRALIA,New South Wales,"Middle Harbour, Sugarloaf Bay, Sydney (Estuary)",Bathing,M,FATAL,Y,"R.D. Weeks, GSAF; Otago Daily Times, 12/24/1907",dec
5206,1907.10.18.R,1907,Unprovoked,AUSTRALIA,Torres Strait,Near Thursday Island,Bathing,M,FATAL,Y,"The Queenslander, 10/26/1907",oct
5207,1907.10.16.R,1907,Unprovoked,CHINA,Hong Kong,"Sharp Peak, Sai Kung Peninsula, New Territories",Fishing,M,"3 of thel 5 were injured, one of whom lost both hands",N,"Dawson Daily News, 11/20/1907",oct
5208,1907.10.16.R,1907,Unprovoked,CHINA,Hong Kong,"Sharp Peak, Sai Kung Peninsula, New Territories",Fishing,M, 2 of the 5 fishermen were so seriously injured they died of their wounds,Y,"Dawson Daily News, 11/20/1907",oct
5209,1907.10.14,1907,Unprovoked,AUSTRALIA,New South Wales,"Merewether Beach, near Newcastle",Bathing,M,Lacerations to left arm from shoulder to wrist,N,"Evening Post, 10/14/1907",oct
5210,1907.10.12,1907,Invalid,HAITI,Tiburon Peninsula,Aux Cayes (now Les Cayes),Reached out to disentangle rope & fell overboard,M,"No attack, no injury",N,"H.D. Baldridge,       SAF Case #412",oct
5211,1907.10.08,1907,Unprovoked,USA,Hawaii," Kalepolepo, Kihei, Maui","Diving, retrieving fish caught in net ",M,"Arm severed at elbow,  surgically amputated at shoulder ",N,"C. Townsend; Pacific Commerical Advertiser, 10/13/1907; J. Borg, p.69; L. Taylor (1993), pp.94-95; Honolulu Advertiser, 8/9/1953",oct
5212,1907.09.18.R,1907,Invalid,ENGLAND,English Channel,,Swimming,M," ""Struck across loins"" but no injury. According to witnesses, incident involved a bottlenose dolphin.",N,"C. Moore, GSAF",sep
5213,1907.09.11,1907,Unprovoked,CROATIA," Split-Dalmatia Count,","Sucurja, Hvar Island,",Swimming,F,FATAL,Y,"C. Moore, GSAF",sep
5214,1907.08.12.b..R,1907,Unprovoked,CROATIA, Primorje-Gorski Kotar County,Krk Island,Swimming,F,FATAL,Y,"Ogden Standard, 8/13/1907",aug
5215,1907.08.12.a..R,1907,Unprovoked,CROATIA, Primorje-Gorski Kotar County,Krk Island,Swimming,M,FATAL,Y,"Ogden Standard, 8/13/1907",aug
5216,1907.08.08.R,1907,Unprovoked,USA,New Jersey,Lower Delaware Bay,Wading,M,Abrasion to chest,N,"New Oxford Item, 8/8/1907",aug
5217,1907.07.14.R,1907,Unprovoked,CROATIA," Split-Dalmatia Count,","Su?uraj, Hvar Island",Swimming,F,FATAL,Y,"C. Moore, S. Navajas, R. Rocconi, GSAF",jul
5218,1907.07.04.R,1907,Invalid,AUSTRALIA,Queensland,Karra Garra,.,M,"Disappeared, but shark involvement unconfirmed",Y,"Queensland Figaro, 7/4/1907",jul
5219,1907.07.00,1907,Unprovoked,USA,South Carolina,Small creek near Coles Island,Floating in creek,M,Slight injuries to left knee & calf ,N,E. M. Burton,jul
5220,1907.04.20,1907,Unprovoked,MEXICO,Oaxaca,Salina Cruz,Bathing,M," 3 fingers & thigh lacerated, foot crushed",N,"Los Angles Times, 8/7/1907, p.II11",apr
5221,1907.03.26,1907,Unprovoked,USA,Florida,"Garden Key, Charlotte County","Fishing,  tarpon being chased by shark  leapt across his skiff, breaking it in half & Larkin became tangled in the net",M,"FATAL, shark bit his side, nearly cutting him in two  ",Y,"The Sun, 7/13/1913  reprinted article from Punta Gorda Herald of 3/31/1907. NOTE: V.M. Coppleson (1962), p.246 lists the location as Punta Gorda, British Honduras",mar
5222,1907.03.07,1907,Unprovoked,MALTA,Harare Province,Marsaskala,Fishing,M,"FATAL,            Fell overboard and were killed by shark",Y,"A. De Maddalena, citing Mojetta, et.al",mar
5223,1907.02.09,1907,Unprovoked,PHILIPPINES,Luzon Island,Manila Bay,"Row boat (from the gunboat Elcano) was sinking, put finger in hole",M,Finger severed,N,"Souix Vally News, 4/4/1907; V.M. Coppleson (1958), p.264",feb
5224,1907.02.05,1907,Unprovoked,NEW ZEALAND,South Island,Port Moeraki,Standing,M,"FATAL, leg severely bitten     ",Y,"R.D. Weeks, GSAF; Otago Daily Times, 1/13/1962",feb
5225,1907.02.03,1907,Unprovoked,AUSTRALIA,Queensland,Ross Creek,Bathing,M,FATAL,Y,"The Queenslander, 2/9/1907",feb
5228,1906.11.16,1906,Unprovoked,JAMAICA,Westmoreland Parish,Cabaritta River mouth,Fishing,M,Leg bitten,N,"The Gleaner (Jamaica), 11/20/1906",nov
5229,1906.10.10.d.R,1906,Unprovoked,USA,Hawaii,,,M,Buttock bitten,N,"Washington Post, 10/10/1906",oct
5230,1906.10.10.c.R,1906,Unprovoked,USA,Hawaii,,Swimming,M,FATAL,Y,"Washington Post, 10/10/1906",oct
5231,1906.10.10.b.R,1906,Unprovoked,USA,Hawaii,,Diving,M,Arm severed,N,"Washington Post, 10/10/1906",oct
5232,1906.10.10.a.R,1906,Unprovoked,USA,Hawaii,,Swimming,M,FATAL,Y,"Washington Post, 10/10/1906",oct
5233,1906.09.27.R.b,1906,Unprovoked,INDONESIA,Java,Lorok Bay,Swimming,M,Thumb & index finger of left hand severed,N,"Atlanta Constitution, 9/27/1906",sep
5234,1906.09.27.R.a,1906,Unprovoked,INDONESIA,Java,Lorok Bay,Swimming,M,FATAL,Y,"Atlanta Constitution, 9/27/1906",sep
5235,1906.09.05.R,1906,Unprovoked,AUSTRALIA,Torres Strait,Mabiuag,Swimming,M,FATAL,Y,"Wanganui Herald, 9/12/1906",sep
5236,1906.09.00,1906,Provoked,USA,California,"Avalon, Los Angeles County",Fishing,M,PROVOKED INCIDENT        No injury; shirt torn by gaffed shark,N,"L.A.Times, 10/1/1906",sep
5237,1906.08.20,1906,Unprovoked,YEMEN ,Aden,,Diving around anchored liner,M,Leg severed. Injury originally thought due to boat's propeller,N,S. Samuels,aug
5238,1906.08.04,1906,Unprovoked,USA,Maryland,"Tangier Sound, Somerset County",Fell overboard,M,FATAL,Y,"Washington Post, 8/11/1906",aug
5239,1906.07.05.R,1906,Unprovoked,USA,Mississippi,"Bay St. Louis, Hancock County",Swimming,M,FATAL,Y,"The Courier, 7/5/1906",jul
5240,1906.07.00,1906,Invalid,MOZAMBIQUE,Maputo Province,Lourenco Marques,,M,Sanna drowned; his hand  (identified by ring on finger) found in a shark at the market,Y,"L.M. Guardian, 7/23/1906; M. Levine, GSAF",jul
5241,1906.04.27.R,1906,Unprovoked,INDONESIA,Maluku Province,Aru Islands,Hard hat diving,M,FATAL,Y,"The Advertiser, 5/16/1906",apr
5242,1906.04.16,1906,Provoked,AUSTRALIA,Victoria,Western Port Bay,Shooting sharks ,M,Finger severed by shark he had shot & stabbed PROVOKED INCIDENT,N,"The Argus, 4/18/1906",apr
5243,1906.04.14,1906,Unprovoked,AUSTRALIA,Queensland,Lizard Island,Diving for beche-de-mer ,M,FATAL,Y,"Morning Post, 4/20/1906",apr
5246,1906.02.14.R,1906,Invalid,NEW ZEALAND,North Island,Mototapu Island,Swimming,M,"FATAL, but shark involvement prior to death was not determined",Y,"Otago Witness, 2/14/11906",feb
5247,1906.01.28,1906,Unprovoked,AUSTRALIA,New South Wales,Georges River,Bathing,M,FATAL,Y,"J. Green, p.31",jan
5248,1906.01.20,1906,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Battery Beach, Durban",Washing horses,M,"FATAL, hips & thigh bitten ",Y,"Natal Mercury Pictorial, 1/31/1906; M. Levine, GSAF",jan
5249,1905.12.31,1905,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Back Beach, Durban",Floating or standing,M,"FATAL, left torso, buttocks, thigh & foot bitten ",Y,"Natal Mercury 1/1/1906; Natal Mercury Pictorial, 1/10/1906;  M. Levine, GSAF",dec
5250,1905.12.29,1905,Invalid,AUSTRALIA,Western Australia,Geraldton,Bathing,M,"""Bad wound in the leg"" - 7-ft shark caught in the bath same day",N,"The Advertiser, 12/30/1905",dec
5251,1905.11.17.R,1905,Invalid,MEDITERRANEAN SEA?,,,A man's head found in a shark caught by British steamer Syria,M,Probable  scavenging,Y,"Altoona Mirror, 11/17/1905",nov
5252,1905.09.29,1905,Unprovoked,AUSTRALIA,New South Wales,"Waverly, Sydney",Swimming,M,FATAL. Shark involvement suspected but not confirmed,Y,"The Argus, 9/30/1905",sep
5253,1905.08.00.b,1905,Unprovoked,USA,New Jersey,"Atlantic City, Atlantic County",Swimming from naptha launch after a day of fishing,M,3 toes of right foot were severed,N,The Sun (undated article),aug
5254,1905.08.00.a,1905,Unprovoked,PHILIPPINES,Luzon Island,Manila Bay,Bathing,M,Leg bitten,N,"Obrien County Bell, 8/31/1905",aug
5255,1905.07.29,1905,Unprovoked,USA,North Carolina,"Davis Shore, east of Beaufor, Carteret Countyt",Wading,M,Body not recovered FATAL,Y,"C. Creswell, GSAF;  F. Schwartz, p.23",jul
5256,1905.07.25.R,1905,Invalid,ITALY,,Naples,,M,"Body recovered from shark, probable drowning and scavenging",Y,"C. Moore, GSAF",jul
5257,1905.07.00,1905,Unprovoked,USA,North Carolina,"Ocracoke, Hyde County",Fishing,M,FATAL,Y,"F. Schwartz, p.23 & pers.com to C. Creswell, GSAF",jul
5258,1905.05.22,1905,Unprovoked,USA,Florida,"Pablo Beach, Jacksonville, Duval County",Swimming,M,Lacerations to back & right leg,N,"Atlanta Constitution, 5/23/1905",may
5259,1905.04.06,1905,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Back Beach, Durban",Swimming,M,"FATAL, thigh bitten, femoral artery severed  ",Y,"Natal Mercury, 4/7/1905; H.Gill & M. Levine, GSAF",apr
5260,1905.03.26,1905,Unprovoked,AUSTRALIA,New South Wales,Lismore,Bathing,M,Righ thigh severely bitten,N,"Adelaide Advertiser, 3/31/1905",mar
5261,1905.03.25,1905,Invalid,AUSTRALIA,Tasmania,Bridport,Bathing,,FATAL,Y,"C. Black, GSAF; Adelaide Advertiser, 3/27/1905",mar
5262,1905.02.10,1905,Invalid,AUSTRALIA,Victoria,Elwood,Bathing,M,Thought to have been taken by a shark,Y,"Adelaide Advertiser, 2/13/1905",feb
5263,1905.01.01,1905,Invalid,AUSTRALIA,Victoria,Elwood,Bathing,M,Reported to have been killed by a shark but 2 years later he was found very much alive,Y,"Adelaide Advertiser, 1/3/1905",jan
5265,1904.11.02,1904,Unprovoked,PHILIPPINES,Luzon Island,"Inner Harbor, Olongapo",Bathing alongside US Naval ship,M,Foot bitten,N,"The Sun, undated article; V.M. Coppleson (1958), p.264",nov
5266,1904.10.11.R,1904,Unprovoked,INDIAN OCEAN,Between Noumea & Sydney,,Fell overboard,M,FATAL,Y,"The Argus, 10/11/1904",oct
5267,1904.09.00,1904,Unprovoked,CUBA,Havana Province,Havana Harbor,Lost his footing & fell overboard,M,"FATAL, left leg severed below knee, right leg severed above knee by a second shark",Y,Washington Post 7/19/1905,sep
5268,1904.08.00,1904,Unprovoked,CUBA,Villa Clara Province,Caibarien Harbor,"Ship's boat capsized in squall, captain & 2 sailors clinging onto hull",M,"FATAL, shark pulled them off hull of boat  ",Y,Washington Post 7/19/1905,aug
5269,1904.07.28,1904,Unprovoked,USA,New Jersey,"Shrewsbury River,  Monmouth County",Sailing,M,No injury,N,"New York Herald Tribune, 7/29/1904",jul
5270,1904.07.27,1904,Unprovoked,USA,Texas,,Swimming,M,"FATAL, body not recovered",Y,"New York Times, 7/28/1904",jul
5271,1904.07.01.R,1904,Unprovoked,ITALY,Ancona Province,Ancona,Swimming,M,FATAL x 4. Afterwards metal mesh nets were installed,Y,"C. Moore, GSAF, Translations by S. Navajas",jul
5272,1904.02.07,1904,Unprovoked,AUSTRALIA,Queensland,Brisbane,Swimming after his hat,M,FATAL,Y,"Grey River Argus, 2/26/1904",feb
5273,1904.02.04,1904,Unprovoked,NEW ZEALAND,North Island,Waitara,Swimming,M,FATAL,Y,"Star, 2/4/1904",feb
5274,1904.01.23,1904,Unprovoked,NEW CALEDONIA,South Province,Noumea,Bathing,M,FATAL,Y,"The Advertiser, 2/4/1904",jan
5278,1903.10.04,1903,Unprovoked,CUBA,Havana Province,Havana Harbor,Fell overboard,M,FATAL,Y,"NY Times, 10/18/1903",oct
5279,1903.09.16.R,1903,Unprovoked,USA,New Jersey,"Atlantic City, Atlantic County",Fishing,M,Lacerations to right arm & shoulder,N,"Indiana Messenger, 9/16/1903",sep
5280,1903.07.00,1903,Unprovoked,FALKLAND ISLANDS,,,"Swimming, after falling overboard",M,"Right leg bitten, surgically amputated",N,"Atlanta Constitution, 1/10/1904",jul
5281,1903.06.21,1903,Unprovoked,AUSTRALIA,New South Wales,Georges River,Swimming,M,FATAL,Y,"The Advertiser, 6/22/1903",jun
5282,1903.05.04,1903,Unprovoked,MEXICO,Veracruz,Coatzacoalcos,Bathing,M,FATAL x 3,Y,"Chicago Tribune, 5/5/1903",may
5283,1903.03.20.R,1903,Unprovoked,AUSTRALIA,New South Wales,Sydney,Suicide,M,Jumped off cliff,Y,"Northern Territory Times, 3/20/1903",mar
5284,1903.03.12,1903,Unprovoked,AUSTRALIA,Queensland,Logan River,Swimming,M,FATAL,Y,"Sydney Morning Herald, 3/16/1903",mar
5285,1903.01.10,1903,Unprovoked,AUSTRALIA,New South Wales,"Lane Cove River, Sydney Harbor (Estuary)",,M,FATAL,Y,"Northern Territory Times & Gazette, 1/12/1903",jan
5288,1902.12.22.R,1902,Unprovoked,NICARAGUA,Rio San Juan,Greytown,Swimming,M,FATAL,Y,"Racine Daily Journal, 12/22/1902",dec
5289,1902.11.10,1902,Unprovoked,AUSTRALIA,New South Wales,"Middle Harbour, Sydney ",Swimming,M,FATAL,Y,"The Advertiser, 11/11/1902",nov
5290,1902.11.01.R,1902,Unprovoked,USA,Texas,"Near Port Lavaca, Calhoun County",Fishing,M,Severe laceration to hand,N,"Victoria Weekly, 1/11/ 1902",nov
5291,1902.08.28.R,1902,Unprovoked,ITALY,Calabria,Nicotera,Swimming,M,FATAL,Y,"C. Moore, GSAF",aug
5292,1902.08.24.R,1902,Boat,CROATIA,Istria County,Porec,Fishing,M,"No injury to occupants, shark grabbed anchor rope & towed boat",N,"C. Moore, GSAF",aug
5293,1902.08.08,1902,Unprovoked,USA,Hawaii,"Kalihi, O'ahu",Catching crabs,M,"FATAL, both arms severed  ",Y,"G. H. Balazs & A. H. Kam; V.M. Coppleson (1958), p.250; J. Borg, p.69; L. Taylor (1993), pp. 94-95",aug
5294,1902.07.15,1902,Provoked,ITALY,Liguria,"Galliera dock, Genoa",Fishing,M,Face & arms injured by hooked shark PROVOKED INCIDENT ,N,"C. Moore, GSAF",jul
5295,1902.07.06,1902,Provoked,USA,New Jersey,"Atlantic City, Atlantic County",Swimming,M,Shark bit his left arm after he grabbed its tail PROVOKED INCIDENT,N,"New York Times, 7/7/1902",jul
5296,1902.06.02,1902,Unprovoked,PHILIPPINES,Zamboanga del Sur Province,"Near mouth of River Cumalarang, 5 miles from Port Isabela, Basilan Island",,M,"""Nose hanging by a threat, prints of shark's teeth over entire right cheek""",N,"V.M. Coppleson, p.264",jun
5297,1902.06.00,1902,Unprovoked,EGYPT,Mediterranean Sea,"Tzortzou Reef, Marsa Matruh",Sponge diving,M,Bitten on hand and thigh,N,M. Bardanis,jun
5298,1902.04.00,1902,Invalid,SOUTH AFRICA,Eastern Cape Province,Algoa Bay,Swimming,M,Probable drowning & scavenging,Y,"M. Levine, GSAF",apr
5299,1902.02.22.R,1902,Provoked,NEW ZEALAND,North Island,Poverty Bay,Standing on ship deck,M,"No injury, hooked shark bit tousers. PROVOKED INCIDENT",N,The Colonist 2/22/1902,feb
5300,1902.01.25.R,1902,Unprovoked,AUSTRALIA,New South Wales,Kerosene Bay,Dangling feet in the water,M,FATAL,Y,"The Advertiser, 1/25/1902",jan
5301,1902.01.19.R,1902,Invalid,SOUTH AFRICA,KwaZulu-Natal,Durban,,M,Possible drowning & scavenging. Remains were recovered from a 15' shark's gut,Y,"M. Levine, GSAF",jan
5302,1902.01.19,1902,Unprovoked,AUSTRALIA,Queensland,Brisbane,Swimming,M,Legs bitten,N,"Brisbane Courier, 1/20/1902",jan
5303,1901.12.01,1901,Unprovoked,AUSTRALIA,Queensland,Brisbane,Bathing,M,Lacerations to torso & thigh,N,"The Argus, 12/2/1901",dec
5304,1901.10.00,1901,Unprovoked,PHILIPPINES,Zamboanga del Sur Province, Port Isabela de Basilan,Taking catch from a fish weir in which the shark was snared,M,Right thigh bitten ,N,"J.A. Guthrie, M.D.; Newark Advocate, 5/24/1902;  V.M. Coppleson (1958), p.264",oct
5305,1901.09.23.R,1901,Unprovoked,CYPRUS,Southern Cyprus,Larnaca,Swimming,M,"FATAL, bitten on arms, chest & legs",Y,"Bardanis citing Embros, 9/23/1901",sep
5306,1901.07.30,1901,Unprovoked,SOUTH AFRICA,Western Cape Province,Windmill Beach,Swimming,M,"Right leg bitten & foot severed, right arm bitten, bones fractured & nearly severed FATAL",Y,"M. Levine, GSAF",jul
5307,1901.07.17,1901,Invalid,ITALY,Syracuse,Capo Santa Croce,Swimming,M,"Disappeared, but shark involvement unconfirmed",,C. Moore,jul
5308,1901.06.29.R,1901,Invalid,YEMEN ,Aden,,Diving around anchored liner,M,,UNKNOWN,"The Graphic, 6/29/1901",jun
