,Case Number,Year,Type,Country,Area,Location,Activity,Sex,Injury,Fatal,Source,Month
1921,1998.12.22,1998,Unprovoked,AUSTRALIA,South Australia,Middleton Beach,Standing,F,2 puncture wounds in left leg,N,"The Advertiser, 12/23/1998, p.3; Daily Telegraph, 12/23/1998, p.17",dec
1922,1998.12.20.R,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"King's Beach, Port Elizabeth",Surfing,M,Leg bitten,N,"G. Cliff, NSB; Sunday Times, 12/20/1998 ",dec
1923,1998.12.18,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Kei River Mouth,Splashing,M,Right leg bitten,N,"Sunday Times, 12/20/1998",dec
1924,1998.12.15,1998,Unprovoked,AUSTRALIA,South Australia,Middleton Beach,Surfing,F,Leg injured,N,"Animal Attack Files, 12/19/1998",dec
1925,1998.11.21,1998,Unprovoked,USA,Florida,"Ocean Beach, Jaycee Park, Vero Beach, Indian River County",Swimming,M,FATAL,Y,E. Ritter. GSAF,nov
1926,1998.11.14,1998,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Right foot bitten,N,"S. Petersohn, GSAF; D. Catron, Orlando Sentinel, 11/19/1998, p.D1; Daytona Beach News Journal, 11/15/1998, p.4C",nov
1927,1998.11.11,1998,Unprovoked,USA,Florida,"South Beach Park, Indian River County",Walking,M,Survived,N,press report,nov
1928,1998.11.05,1998,Unprovoked,USA,Oregon,Winchester Bay,Surfing,M,No injury,N,"R. Collier, pp.165-166",nov
1929,1998.11.02.b,1998,Provoked,JAPAN,Southern Japan,460 miles off Iwakuni,Fishing for tuna,M,PROVOKED INCIDENT    Knee bitten by shark trapped in net,N,"Deseret News, 11/3/1998, p.A7",nov
1930,1998.11.02.a,1998,Unprovoked,BRAZIL,Pernambuco," Boa Viagem Beach, Recife",Surfing,M,"FATAL, left forearm severed  ",Y,O. Gadig & A. Xureb,nov
1931,1998.10.24,1998,Unprovoked,USA,Florida,"Jupiter Beach, Palm Beach County",Swimming,F,Minor lacerations on right ankle & foot,N,"Sun Sentinel. Fort Lauderdale, 10/25/1998, p.3B",oct
1932,1998.10.18,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Glengariff,Surfing,M,"No injury, surfboard bitten",N,"East London Daily Dispatch, 10/20/1998",oct
1933,1998.10.10,1998,Unprovoked,USA,Florida,"Sebastian Inlet, Indian River County",Surfing,M,Right hand bitten,N,"Sarasota Herald-Tribune, 10/13/1998 ",oct
1934,1998.10.04,1998,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Surfing,M,Right leg bitten,N,"Folha de S.Paul, 6/10/1998",oct
1935,1998.10.01.b,1998,Unprovoked,REUNION,Saint-Benoît,,Diving,,Survived,N,G. Van Grevelynghe,oct
1936,1998.10.01.a,1998,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",,M,2 one-inch lacerations in left foot,N,S. Petersohn,oct
1937,1998.09.27,1998,Unprovoked,USA,Florida,"The Rocks, Hutchinson Island, Martin County",Surfing,M,Puncture wounds to leg,N,"The Stuart (FL) News, 9/29/1998",sep
1938,1998.09.22,1998,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Left arm lacerated,N,"S. Petersohn, GSAF",sep
1939,1998.09.16.R,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Kowie River,Fishing / washing bait off hands,M,Laceration to right foot,N,"Daily Dispatch, 9/16/1998",sep
1940,1998.09.14,1998,Unprovoked,USA,Florida,"Stuart Beach, Martin County",Surfing,M,Right foot bitten,N,"P. Sheth, Fort Pierce Tribune, 9/15/1998",sep
1941,1998.09.00,1998,Provoked,SENEGAL,Cap Vert Peninsula,Yoff Island,Spearfishing,M,Bitten by harpooned shark PROVOKED INCIDENT,N,S. Trape,sep
1942,1998.08.30,1998,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,Toes lacerated,N,"S. Petersohn, GSAF",aug
1943,1998.08.27,1998,Invalid,ITALY,Marches region,12 miles off Senigallia (Adriatic Sea),Fishing,,"No injury; no attack, shark ate the bait hanging over the side of the boat",N,MEDSAF,aug
1944,1998.08.26,1998,Unprovoked,USA,California,"Stinson Beach, Marin County",Boogie boarding,M,"Thigh, buttocks & lower back lacerated",N,"R. Collier, pp.163-164      ",aug
1945,1998.08.23.R,1998,Unprovoked,USA,Virginia,Virginia Beach,Spearfishing,M,Lacerations to left hand,N,Dan,aug
1946,1998.08.15,1998,Unprovoked,BAHAMAS,Berry Islands,Ambergris Cay,Spearfishing,M,Calf bitten,N,"E. Ritter, GSAF",aug
1947,1998.08.13,1998,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Body-boarding,M,Left calf injured,N,"A. Buttigieg, GSAF",aug
1948,1998.08.12,1998,Provoked,SOUTH AFRICA,Transvaal,"National Zoological Gardens Aquarium, Pretoria",Moving a shark in a net ,M,Lacerations to right shin  PROVOKED INCIDENT,N,"Daily Dispatch, 8/13/1998",aug
1949,1998.08.01.b,1998,Unprovoked,SOUTH AFRICA,Western Cape Province,"Buffalo Bay, near Knysna",Surfing (or body boarding),M,Legs bitten,N,"Daily Record (Glasgow, Scotland), 8/3/1998",aug
1950,1998.08.01.a,1998,Unprovoked,SOUTH AFRICA,Western Cape Province,Pringle Bay,Spearfishing,M,Leg bitten,N,"Daily Record (Glasgow, Scotland), 8/3/1998",aug
1951,1998.07.26,1998,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",Surfing,M,Lacerations to left foot,N,JCOnline,jul
1952,1998.07.25,1998,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Calf bitten,N,"S. Petersohn, GSAF; Orlando Sentinel, 7/24/1998 & 7/27/1998 ",jul
1953,1998.07.06.b,1998,Unprovoked,SOUTH AFRICA,Western Cape Province,Plettenberg Bay,Wading,M,Right leg bitten,N,"A. Gifford, GSAF",jul
1954,1998.07.11,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,Surfing,M,Knee bitten,N,"East London Daily Dispatch, 7/13/1998",jul
1955,1998.07.06.a,1998,Unprovoked,SOUTH AFRICA,Western Cape Province,Plettenberg Bay,Surfing,M,Right leg bitten,N,"A. Gifford, GSAF",jul
1956,1998.06.28.a,1998,Unprovoked,AUSTRALIA,South Australia,South Neptune Island,Free diving for abalone,M,"FATAL, left thigh and lower leg severely injured  ",Y,R.W. Byard,jun
1957,1998.06.22,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Gonubie, 13 km northeast of East London",Body Boarding,M,"FATAL, hands & calf bitten  ",Y,"A. Gifford, GSAF",jun
1958,1998.06.08,1998,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Surfing,M,"2-inch laceration on dorsum of foot, 1-inch laceration on sole.",N,"S. Petersohn, GSAF",jun
1959,1998.06.05,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Jeffrey's Bay,Surfing,M,Survived,N,"A. Gifford, GSAF",jun
1960,1998.05.30,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Pollock Beach,Surfing,M,Minor laceration on foot,N,"A. Gifford, GSAF",may
1961,1998.05.29.b,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Sardinia Bay near Port Elizabeth,Body boarding,M,Right shoulder & arm bitten,N,"A. Gifford, GSAF",may
1962,1998.05.29.a,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Jeffreys Bay,Body boarding,M,Leg bitten,N,"A. Gifford, GSAF",may
1963,1998.05.25,1998,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,4 lacerations on the sole of his right foot,N,"S. Petersohn, GSAF; Orlando Sentinel, 5/26/1998, p.C.3; Daytona Beach News Journal, 5/26/1998, p.2D",may
1964,1998.05.16.c,1998,Unprovoked,USA,Florida,"Pecks Lake, Martin County",Swimming,F,Ankle & foot bitten,N,"The Stuart (FL) News, 5/17/1998",may
1965,1998.05.16.b,1998,Unprovoked,USA,Florida,"Walden Rocks, St. Lucie County",Swimming / surfing,M,Left arm & wrist lacerated,N,"The Stuart (FL) News, 5/17/1998",may
1966,1998.05.16.a,1998,Unprovoked,SOUTH AFRICA,Western Cape Province,Keurbooms,Body boarding,M,"Lower legs bitten, foot severed",N,"A. Gifford, GSAF",may
1967,1998.04.26,1998,Unprovoked,MOZAMBIQUE,Gaza,"Bilene Bay, 180 km north of Maputo",Towing rubber dinghy,F,"FATAL, torso & abdomen bitten, forearm severed ",Y,"A. Gifford, GSAF",apr
1968,1998.04.21,1998,Unprovoked,USA,Oregon,Gleneden Beach,Surfing (lying prone on his board),M,Right thigh bitten,N,"R. Collier, pp.161-163",apr
1969,1998.04.17,1998,Provoked,USA,Florida,"Marathon, Monroe County",Scuba diving,M,"He grabbed shark's tail, shark bit his chest & held on.  PROVOKED INCIDENT",N,"CNN; Orlando Sentinel, 4/18/1998, p.D7;   Tallahassee Democrat, 4/19/1998",apr
1970,1998.04.01,1998,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",Swimming ,M,FATAL,Y,"JC, 4/2/1998",apr
1971,1998.04.00,1998,Unprovoked,NEW CALEDONIA,,Île de Sable,,,Calf bitten,N,W. Leander,apr
1973,1998.03.15,1998,Unprovoked,SOUTH AFRICA,Western Cape Province,Saldanha Bay,Snorkeling  hunting crayfish and abalone,M,Lower leg lacerated,N,C. Maxwell,mar
1974,1998.03.08.a,1998,Unprovoked,USA,Florida,"Loggerhead Park, Juno Beach, Palm Beach County",Swimming or paddle boarding,M,6 puncture wounds to right calf,N,"Jupiter Courier, 3/11/1998",mar
1975,1998.02.23,1998,Unprovoked,USA,Florida,"Jensen Beach, Martin County",Swimming,M,Hands bitten,N,"Palm Beach Post, 2/24/1998",feb
1976,1998.01.28.R ,1998,Invalid,AUSTRALIA,New South Wales,Whale Beach,Spearfishing,M,"Missing, thought to have been taken by a shark",Y,"Daily Telegraph, 1/28/1998.p.2",jan
1977,1998.01.28.a,1998,Unprovoked,NEW CALEDONIA,South Province,l'Anse-Vata,Windsurfing,M,"No injury, board bumped & fin damaged",N,"W. Leander, Les Nouvelles Caledoniennes, 1/301998",jan
1978,1998.01.25.b,1998,Unprovoked,REUNION,Grand'Anse,,Bathing,M,FATAL,Y,G. Van Grevelynghe,jan
1979,1998.01.25.a,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,East London,Surfing,M,Calf & foot lacerated,N,"A. Gifford, GSAF",jan
1980,1998.01.17,1998,Unprovoked,AUSTRALIA,South Australia,Middleton Beach,Surfing,M,20 punctures in right foot,N,"Sunday Mail (QLD), 1/18/1998, p.22; Hobart Mercury, 1/19/1998, p.41",jan
1981,1998.01.14,1998,Unprovoked,MOZAMBIQUE,Maputo Province,Ponta do Ouro,Surfing,M,Leg bitten,N,"A. Gifford, GSAF ",jan
1985,1997.12.28.b,1997,Unprovoked,SOUTH AFRICA,Western Cape Province,"Pringle Bay, 44 miles southeast of Cape Town",Spearfishing,M,FATAL,Y,"A. Gifford, GSAF",dec
1986,1997.12.28.a,1997,Unprovoked,SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,Sitting on surfboard,M,Calf bitten,N,"A. Gifford, GSAF",dec
1987,1997.12.25.b,1997,Invalid,USA,Florida,"Fort Lauderdale, Broward County",,F,"Ankle bitten, but shark involvement unconfirmed",N,"Miami Herald, 12/27/1997",dec
1988,1997.12.25.a,1997,Unprovoked,USA,Florida,"Hollywood Beach, Broward County",Swimming,M,Left leg gashed knee to ankle,N,"Orlando Sentinel, 12/27/1997, p.D.3; Globe Newspaper Company",dec
1989,1997.11.09,1997,Unprovoked,AUSTRALIA,Western Australia,Albany,Scuba diving (submerged riding a scooter),M,Left arm lacerated when shark grabbed scooter,N,"Daily Telegraph, 11/12/1997, p.5",nov
1990,1997.11.05.R,1997,Unprovoked,USA,Florida,,Swimming,M,Thigh bitten,N,"The Mirror (London), 11/5/1997",nov
1991,1997.11.05,1997,Invalid,AUSTRALIA,New South Wales,Botany Bay?,Unknown,M,5 m white shark obsrved feeding on remains 6 days later,Y,"Courier-Mail, 12/7/1998, p.3",nov
1992,1997.10.28.b,1997,Unprovoked,AUSTRALIA,Western Australia,"Cottesloe Beach, Perth",Surf-skiing,M,"Sierakowski suffered a minor facial injury, ski bitten in half by shark",N,"Reuters Limited, et al",oct
1993,1997.10.28.a,1997,Unprovoked,USA,Hawaii,"Waiokapua Bay/Majors Bay, Brennecke Beach, Poipu, Kaua'i Island",Body boarding or surfing,M,"Both legs bitten, right leg severed at mid-calf & defense wounds on right hand",N,"Yahoo News Canada, 8/16/2012",oct
1994,1997.10.24,1997,Unprovoked,USA,Florida,"North Jetty, Fort Pierce Inlet State Park, St. Lucie County",Surfing,M,"5"" gash in foot",N,"Fort Pierce News,  10/25/1997 & 10/31/1997",oct
1995,1997.10.21,1997,Unprovoked,USA,Florida,"North Jetty, Fort Pierce Inlet State Park, St. Lucie County",Surfing,M,Left foot bitten,N,"Fort Pierce News,  10/24/1997, p.A2",oct
1996,1997.10.11.R,1997,Boat,SOUTH AFRICA,Eastern Cape Province,Off Port Alfred,Fishingat,,"No injury, hooked shark bit their 4.8 m inflatable boat",N,"Daily Dispatch, 10/11/1997",oct
1997,1997.10.04,1997,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Swimming,F,Laceration & 3 puncture wounds to anterior right thigh,N,"S. Petersohn, GSAF; Orlando Sentinel, 10/5/1997, p.B.3; J. Bozzo; Daytona Beach News Journal, 10/6/1997, p.3D ",oct
1998,1997.09.16,1997,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",Swimming,M,FATAL,Y,JCOnline,sep
1999,1997.09.09,1997,Unprovoked,USA,Florida,Volusia County  ,Surfing,M,Laceration to right foot,N,"S. Petersohn, GSAF",sep
2000,1997.09.08,1997,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,,2 small lacerations to bottom of foot,N,"Daytona News-Journal, 9/9/1997",sep
2001,1997.09.06,1997,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Lacerations to lower left leg,N,"S. Petersohn, GSAF",sep
2002,1997.08.30,1997,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Lacerations on right ankle & heel,N,"S. Petersohn, GSAF",aug
2003,1997.08.27,1997,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Walking / surfing,M,"2"" laceration on left heel",N,"S. Petersohn, GSAF",aug
2004,1997.08.24,1997,Unprovoked,USA,California,"Clam Beach, near Eureka, Humboldt County",Surfing (sitting on his board),M,Leg & hand bitten,N,"R. Collier, pp.159-160",aug
2005,1997.08.14.b,1997,Invalid,MEXICO,Quintana Roo,"Santa Rosa, Cozumel",SCUBA diving,M,FATAL,Y,"Charlotte Observer, 8/22/2997, p.7C & 8C; York Observer, 8/22/1997, p.2Y; UWSports.com",aug
2006,1997.08.14.a,1997,Unprovoked,MEXICO,Quintana Roo,"Santa Rosa, Cozumel",SCUBA diving,M,"FATAL, arm & leg severed ",Y,"Charlotte Observer, 8/22/2997, p.7C & 8C; York Observer, 8/22/1997, p.2Y; UWSports.com",aug
2007,1997.08.11.c,1997,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Floating on raft,F,Small lacerations on right lower leg,N,"S. Petersohn, GSAF",aug
2008,1997.08.11.b,1997,Unprovoked,EGYPT,Red Sea,Safaga,Fishing,M,Seriously injured,N,"Middle East Times, 8/15/1997",aug
2009,1997.08.11.a,1997,Unprovoked,EGYPT,Red Sea,Safaga,Fishing,M,FATAL,Y,"Middle East Times, 8/15/1997",aug
2010,1997.08.10,1997,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Boogie boarding,M,Lacerations to foot,N,"S. Petersohn, GSAF",aug
2011,1997.08.09,1997,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Lacerations to right foot,N,"S. Petersohn, GSAF",aug
2012,1997.08.05,1997,Unprovoked,USA,Texas,"East Beach, Galveston",Wading,F,Wrist & am bitten,N,"Austin American Statesman, 8/7/1997, p.C8",aug
2013,1997.08.04,1997,Unprovoked,USA,Florida,"Carysfort Lighthouse, Key Largo, Monroe County",Wade-fishing,M,Left forearm & wrist bitten,N,"Miami Herald, 8/29/1997",aug
2014,1997.08.02.b,1997,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Body surfing,M,Top of left foot bitten,N,"S. Petersohn, GSAF; D. Catron, Orlando Sentinel, 8/3/1997, B3",aug
2015,1997.08.02.a,1997,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading / Surfing,M,Top of left foot bitten,N,"S. Petersohn, GSAF; D. Catron, Orlando Sentinel, 8/3/1997, B3",aug
2016,1997.07.27,1997,Unprovoked,AUSTRALIA,Queensland,"Pincushion, north of Maroochydore Beach",Surfing,M,Leg lacerated,N,"Courier-Mail, 7/28/1997, p.5",jul
2017,1997.07.21,1997,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Breezy Point, Ntlonyana",Surfing,M,FATAL,Y,"A. Gifford, GSAF, G. Cliff, NSB",jul
2018,1997.07.17,1997,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",Surfing,M,Survived,N,JCOnline,jul
2019,1997.07.14,1997,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Standing,M,Left calf bitten,N,"Charlotte Observer, 7/17/1997, p.2C; C. Creswell, GSAF",jul
2020,1997.07.12,1997,Unprovoked,OKINAWA,Miyako,Hirara,Fishing for octopus,M,"FATAL, legs severed  ",Y,"Okinawa Weekly Times, 7/19/1997 editon; Ryukyu Shrimpo News (Japan)",jul
2021,1997.07.02.R,1997,Unprovoked,BRAZIL,Pernambuco,Paiva,Surfing,,Right thigh bitten,N,"D. Duarte; Globo, 7/2/1997",jul
2022,1997.06.24,1997,Unprovoked,USA,Hawaii,"Sunset Beach, Oahu",Spearfishing / night diving,M,Leg bitten just above ankle,N,Hawaii Department of Land and Natural Resources,jun
2023,1997.06.15,1997,Unprovoked,FIJI,Taveuni,Off a small island 5 km from Garden Island Resort,Snorkeling,F,"Bitten on inner thigh, leg surgically amputated",N,"R. D. Weeks, GSAF; Otago Daily Times, 6/17/1997, p.2; Sport Diver Magazine, Dec97/Jan98, p.8",jun
2024,1997.06.09,1997,Unprovoked,USA,Florida, Palm Beach County,Surfing,M,Laceration to left upper arm,N,"Palm Beach Post, 6/12/1997",jun
2025,1997.06.07,1997,Unprovoked,BRAZIL,Rio de Janeiro,"Copacabana, Rio de Janeiro",Bathing,M,,UNKNOWN,"Globo, 6/9/1997",jun
2026,1997.06.02,1997,Unprovoked,USA,Florida,"Daytona Beach Shores,  Volusia County","Body surfing, stood up on sandbar",M,4 lacerations above left ankle,N,"S. Petersohn, GSAF; D. Treen; Florida Times-Union, 6/3/1997; Miami Herald, 6/3/1997",jun
2027,1997.05.31.c,1997,Unprovoked,USA,Florida,In Gulf of Mexico 17 miles off Weeki Wachee ,Spearfishing,M,Right thigh punctured,N,"R. Nelson, St. Petersburg Times, 6/6/1997",may
2028,1997.05.31.b,1997,Unprovoked,USA,Florida,"Flagler Beach, Flagler County",Surfing,M,Left elbow bitten,N,"A. Mikula, Daytona Beach News-Journal, 6/1/199,  p.2C",may
2029,1997.05.31.a,1997,Unprovoked,USA,Florida,"Flagler Beach, Flagler County",Surfing,M,Left ankle bitten,N,"A. Mikula, Daytona Beach News-Journal, 6/1/1997, p.2C",may
2030,1997.05.26,1997,Unprovoked,BAHAMAS,Abaco Islands,Powell Cay,Spearfishing,M,Right arm bitten,N,"The Mirror (London); Orlando Sentinel, 5/28, 1997, p.C3",may
2031,1997.05.17,1997,Unprovoked,BAHAMAS,Abaco Islands,Walkers Cay,Spearfishing,M,Leg bitten,N,"Miami Herald, 5/18/1997",may
2032,1997.04.20,1997,Unprovoked,BRAZIL,Rio de Janeiro,"Manguinhos, Ilha Feia, Búzios",Windsurfing,M,Lower left leg & ankle bitten,N,"O. Gadig; Globo, 4/24/1997",apr
2033,1997.02.28.b,1997,Unprovoked,AUSTRALIA,Queensland,"Carrara, Nerang River",Swimming,F,Left leg biten,N,"The Advertiser, 3/1/1997, p.12",feb
2034,1997.02.28.a,1997,Unprovoked,AUSTRALIA,Queensland,Whitsunday Passage,Scuba diving,M,Left arm bitten,N,"The Advertiser, 3/1/1997, p.12",feb
2035,1997.02.21,1997,Unprovoked,USA,Hawaii,"Sunset Beach, O'ahu",,M,No details,UNKNOWN,G. Balazs,feb
2036,1997.02.20,1997,Unprovoked,REUNION,L'Etang-Sale,,,M,Hand injured,N,"LeQuotidien, 12/4/1999",feb
2037,1997.02.03,1997,Boat,AUSTRALIA,New South Wales,"Iron Cove, Sydney",Rowing ,F,"Bruised, when shark struck scull & catapulted her into the water",N,"J. Delvecchio & D. Sygall, Sydney Morning Herald, 2/4/1997, p.2",feb
2038,1997.01.25,1997,Unprovoked,AUSTRALIA,Queensland,"Whitehaven Beach, Whitsundays Island",Snorkeling,M,"Left leg lacerated, punctures to right leg",N,"Sunday Mail (QLD), 1/26/1997, p.2; Hobart Mercury, 1/27/1997, p.2",jan
2039,1997.01.20,1997,Unprovoked,AUSTRALIA,Western Australia,Geraldton,Windsurfing,M,"Presumed fatal, no body recovered, shark mutilated wetsuit & harness recovered ",Y,"Daily Telegraph, 1/22/1997, p.1; H. Edwards, p.14-15",jan
2040,1997.01.03.a,1997,Unprovoked,REUNION,,la Pointe-au-Sel,Spearfishing,M,FATAL,Y,"Clicanoo, le journal  de l'Ile de la Réunion",jan
2041,1997.01.01,1997,Boat,AUSTRALIA,Victoria,"Seal Rocks, Phillip Island",Watching seals,,"No injury to occupants, shark bit 2 of the dinghy's 3 floation chambers",N,"The Advertiser, 1/3/1997, p.7",jan
2042,1996.12.29,1996,Unprovoked,AUSTRALIA,Queensland,Coolum Beach,Surfing,M,,UNKNOWN,"The Advertiser, 12/30/1996, p.3",dec
2043,1996.12.10,1996,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Duck Pond, Sardina Bay near Port Elizabeth",Surfing,M,Elbow bitten,N,"A. Gifford, GSAF",dec
2044,1996.12.00.b,1996,Unprovoked,NEW CALEDONIA,,,Spearfishing,M,"Presumed fatal, only his shark-bitten speargun recovered",Y,W. Leander,dec
2045,1996.12.00.a,1996,Unprovoked,NEW CALEDONIA,South Province,L'llot Maetre,Attempting to attract dolphins,F,Hand bitten,N,W. Leander,dec
2046,1996.11.29.a,1996,Unprovoked,USA,California,"Salmon Creek Beach, Sonoma County",Surfing,M,Single laceration on ankle & board bitten,N,"R. Collier, p.158",nov
2047,1996.11.18,1996,Unprovoked,USA,Florida,"Coral Cove Park, Palm Beach County",Surfing,M,Right foot bitten,N,"Jupiter Courier, 11/20/1996",nov
2048,1996.10.28.b,1996,Unprovoked,BRAZIL,Pernambuco,Barra de Jangada,Surfing,,Leg bitten,N,D. Duarte,oct
2049,1996.10.28.a,1996,Unprovoked,BRAZIL,Pernambuco,Barra de Jangada,Surfing,M,Survived,N,JCOnline,oct
2050,1996.10.09,1996,Unprovoked,OKINAWA,Miyako Island,Boragawa Beach,Swimming or snorkeling,M,FATAL,Y,"Okinawa Weekly  Times, 10/14/1996 ",oct
2051,1996.10.05.,1996,Unprovoked,USA,California,"Dillon Beach, Marin County",Surfing,M,Lower leg bitten,N,"R. Collier, pp.156-157",oct
2052,1996.10.03.b,1996,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Surfing,M,"4"" laceration on left forearm",N,"Orlando Sentinel, 10/4/1996",oct
2053,1996.10.03.a,1996,Unprovoked,USA,California,"North Salmon Creek Beach, Sonoma County",Surfing,M,"No Injury, shark struck his board",N,R. Collier       http://www.sharkresearchcommittee.com/unprovoked_surfer.htm,oct
2054,1996.10.00,1996,Unprovoked,BRAZIL,Pernambuco,,,,Survived,N,D. Duarte,oct
2056,1996.09.06.b,1996,Unprovoked,NEW ZEALAND,Chatham Islands ,Waihere Bay,Diving for abalone,M,"Back, arms & wrist severely lacerated",N,"R.D. Weeks, GSAF; Otago Daily Times,  9/7/1996, p.2
",sep
2057,1996.09.06.a,1996,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing / Swimming,M,Small puncture wounds and lacerations on right leg just below knee,N,"S. Petersohn, GSAF; Orlando Sentinel , 9//7/1996; Daytona Beach News Journal, 9/7/1996, p.4C ",sep
2058,1996.09.02.b,1996,Unprovoked,USA,Florida,"Behune Beach, Volusia County",Standing,M,Right foot bitten,N,"S. Petersohn, GSAF; Orlando Sentinel , 9//7/1996; Daytona Beach News Journal, 9/7/1999, p.4C",sep
2059,1996.09.02.a,1996,Unprovoked,USA,Florida,"Bethune Beach, Volusia County",Sitting on surfboard,M,Small lacerations on left foot,N,"S. Petersohn, GSAF; Daytona Beach News Journal, 9/3/1999, pp. 2D & 4D, 9/7/1999, p.4C",sep
2060,1996.09.01.b,1996,Invalid,USA,South Carolina,"Garden City Beach, Horry County",Boogie boarding,F,Minor injuries to foot,N,"The Sun, 9/2/1996",sep
2061,1996.09.01.a,1996,Provoked,SOUTH AFRICA,KwaZulu-Natal,Hibberdene,Spearfishing,M,No injury  PROVOKED INCIDENT,N,"A. Gifford, GSAF",sep
2062,1996.08.29,1996,Unprovoked,USA,Hawaii,"Paukukalo, Maui",Body Boarding,M,Right calf bitten,N,"Allen, p.117",aug
2063,1996.08.13,1996,Unprovoked,USA,California,"Bird Rock, Tomales Point",Free diving for abalone,M,"Left shoulder, forearm, hand & abdomen lacerated",N,"R. Collier, pp.154-155      ",aug
2064,1996.08.11,1996,Unprovoked,USA,Florida,"Bayshore Garden, Sarasota Bay, Sarasota County",Wade fishing,M,"No injury, towed by shark that grabbed stringer of fish tied to his waist",N,"Bradenton Herald, 8/12/1996, p.L2",aug
2065,1996.07.26,1996,Unprovoked,USA,Florida,"Wiggins Pass, Collier County",Standing,F,Survived,N,Press clipping,jul
2066,1996.07.23.b,1996,Unprovoked,OKINAWA,Miyako,Hirara City,Swimming,M,"FATAL, torso & abdomen bitten,  forearm severedL",Y,"press clippings ; Okinawa Weekly  Times, 10/14/1996 ",jul
2067,1996.07.23.a,1996,Unprovoked,EGYPT / ISRAEL,"South Sinai, Gulf of Aqaba","1 km off the mouth of Marsa Bereika, north of Ras Mohammed",Free diving with a pod of dolphins,M,"Bitten on back, shoulder & chest",N,"Daily Telegraph, 7/26/1996, p.15; K. Lavalli & O. Goffman",jul
2068,1996.07.21,1996,Unprovoked,USA,Massachusetts,"Truro (Cape Cod), Barnstable County",Swimming,M,Lacerations to left leg & right foot ,N,"Associated Press, 7/23/1996",jul
2069,1996.07.20,1996,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,M,Laceration to right arm,N,"S. Petersohn, GSAF",jul
2070,1996.07.14,1996,Unprovoked,USA,Hawaii,"Nakalele Point, Maui",,,No details,UNKNOWN,G. Balazs,jul
2071,1996.07.10,1996,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",,M,Right foot bitten,N,"S. Petersohn, GSAF",jul
2072,1996.07.04.b,1996,Unprovoked,USA,Florida,"Public Beach, Siesta Key, Sarasota County",Standing,F,Laceration on left foot,N,"G. Nansen; Sarasota Herald-Tribune (FL), 7/5/1996",jul
2073,1996.07.04.a,1996,Unprovoked,BAHAMAS,Cat Cay,,Diving,M,Left leg lacerated,N,"G. Nansen, D. McGee; Miami Herald, 7/5/1996 ",jul
2074,1996.06.25,1996,Unprovoked,USA,South Carolina,"Fripp Island, Beaufort County",Body surfing,F,"Lacerations to left shin, heel & foot",N,"C. Creswell, GSAF; Macon Telegraph, 6/17/1996",jun
