,Date,Year,Type,Country,Area,Location,Activity,Age,Injury,Fatal (Y/N),Female,Male
2653,30-Sep-84,1984,Unprovoked,USA,California,"Tomales Point, Marin County","Free diving , but surfacing",0,Legs & buttocks bitten,N,0,1
2654,23-Sep-84,1984,Unprovoked,USA,Florida,Volusia County,Surfing,17,Right foot bitten,N,0,1
2655,22-Sep-84,1984,Unprovoked,USA,Florida,NO DATA,Swimming,0,Left foot lacerated,N,0,1
2656,22-Sep-84,1984,Unprovoked,USA,Florida,"Indiatlantic, Brevard County",Surfing,16,Foot bitten,N,0,1
2657,19-Sep-84,1984,Unprovoked,USA,Florida,Volusia County,Swimming,0,No details,UNKNOWN,0,0
2658,17-Sep-84,1984,Unprovoked,USA,California,"Mission Beach, San Diego County",Wading,0,Arm bitten,N,0,1
2659,15-Sep-84,1984,Unprovoked,USA,California,"Pigeon Point, San Mateo County",Skindiving,28,FATAL,Y,0,1
2660,11-Sep-84,1984,Provoked,MEXICO,Baja California,Guadalupe Island,Spearfishing,0,"No Injury, PROVOKED INCIDENT",N,0,1
2661,24-Aug-84,1984,Invalid,USA,Florida,"Off Crystal River, Citrus County",Boat capsized?,31,Death was due to drowning; body scavenged by a shark,Y,1,0
2662,07-Aug-84,1984,Unprovoked,INDONESIA,NO DATA,Bali,"Sea disaster, foundering of the cargo vessle M/V Dorolonda",0,FATAL,Y,0,1
2663,24-Jul-84,1984,Unprovoked,USA,Texas,South Padre Island,Swimming,13,Lacerations on right foot,N,1,0
2664,24-Jul-84,1984,Unprovoked,USA,Texas,South Padre Island,Swimming,18,Legs severely lacerated,N,1,0
2665,22-Jul-84,1984,Invalid,SOUTH AFRICA,Western Cape Province,Cape Point,Spearfishing,21,"FATAL, but shark involvement prior to death could not be determined",Y,0,1
2666,01-Jul-84,1984,Unprovoked,USA,Florida,NO DATA,"During a shark fishing tournament, the 18' Boatem was capsized by waves, throwing 3 men into the water ",30,Leg abraded,N,0,1
2667,Jul-84,1984,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Sodwana,Spearfishing,0,"No injury, shark hit swim fin",N,0,1
2668,15-Jun-84,1984,Unprovoked,SOUTH AFRICA,Western Cape Province,"Muizenberg, False Bay",Surfing,27,"No injury, board bitten",N,0,1
2669,03-Jun-84,1984,Unprovoked,USA,Hawaii,"Kane'ohe Bay, O'ahu",Towing her sister on plastic ski board,13,Foot bitten,N,1,0
2670,03-Jun-84,1984,Unprovoked,VANUATU,Malampa Province,"Atchin Island, off Malakula",Swimming,0,FATAL,Y,0,1
2671,31-May-84,1984,Unprovoked,SOUTH AFRICA,Western Cape Province,Arniston,Spearfishing,28,Swim fin bitten,N,0,1
2672,17-Mar-84,1984,Invalid,SOMALIA,NO DATA,NO DATA,Murder,0, Forced at gunpoint to jump overboard. Presumed fatal; shark involvement probable but not confirmed ,Y,0,1
2673,14-Mar-84,1984,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,Surfing,0,"No injury, 8 pressure dings in surboard",N,0,1
2674,10-Mar-84,1984,Boat,SOUTH AFRICA,Eastern Cape Province,Swartkops River mouth,Rowing,0,"No injury to occupant, shark seized oar and disappeared with it.",N,0,1
2675,01-Mar-84,1984,Unprovoked,AUSTRALIA,Western Australia,Coral Bay,NO DATA,0,No details,UNKNOWN,0,0
2676,18-Feb-84,1984,Provoked,SOUTH AFRICA,Eastern Cape Province,"Paradise Beach, Jeffrey’s Bay",Fishing,0,Leg lacerated by hooked shark PROVOKED INCIDENT,N,0,1
2677,17-Feb-84,1984,Provoked,SOUTH AFRICA,KwaZulu-Natal,"Shark tank at Oceanographic Research Insitute, Durban",Scuba diving,33,Punctures in wetsuit & left arm bruised by captive shark PROVOKED INCIDENT,N,0,1
2678,12-Feb-84,1984,Invalid,SOUTH AFRICA,Eastern Cape Province,St. George’s Strand,NO DATA,0,"Human remains recovered, evidence of scavenging by shark/s",Y,0,0
2679,11-Feb-84,1984,Unprovoked,AUSTRALIA,Queensland,Derwent Island,Spearfishing,27,Hand bitten,N,0,1
2680,05-Jan-84,1984,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Port Alfred,Swimming,14,Foot bitten,N,0,1
2681,04-Jan-84,1984,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Umlaas Canal,NO DATA,14,Remains recovered 1-4-1984 showed evidence of defense wounds,Y,1,0
2682,1984,1984,Provoked,USA,California,San Francisco,Steinhart Aquarium,0,Head mouthed by captive shark PROVOKED INCIDENT,N,0,1
2683,1984,1984,Unprovoked,USA,Florida,"Indiatlantic, Brevard County",Surfing,0,Right foot bitten,N,0,1
2684,30-Dec-83,1983,Invalid,GREECE,Andikira Fokithes,NO DATA,Spearfishing,36,"Coroner determined the man was killed by a boat propeller, not a tiger shark",Y,0,1
2685,25-Dec-83,1983,Unprovoked,USA,Florida,"Riviera Beach, Palm Beach County",Surfing,17,Left foot & thigh bitten,N,0,1
2686,24-Dec-83,1983,Unprovoked,AUSTRALIA,South Australia,"Dangerous Reef, South Neptune Island",Scuba diving for abalone,48,Fingers bitten,N,0,1
2687,22-Dec-83,1983,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Great Fish River,Swimming,16,"Left calf, ankle & foot lacerated",N,0,1
2688,21-Dec-83,1983,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon,Swimming,47,Shin lacerated,N,0,1
2689,07-Dec-83,1983,Invalid,SOUTH AFRICA,KwaZulu-Natal,LaMercy,NO DATA,0,"Two feet found in shark, postmortem scavenging",N,0,1
2690,21-Nov-83,1983,Sea Disaster,PHILIPPINES,Central Philippines,NO DATA,Ferry boat sank,0,Left foot nipped,N,0,1
2691,Reported      10-Nov-1983,1983,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,15,Laceration to left foot,N,0,1
2692,10-Nov-83,1983,Invalid,SOUTH AFRICA,KwaZulu-Natal,Tongaat,Swimming,0,Probable drowning and scavenging,Y,1,0
2693,17-Oct-83,1983,Unprovoked,USA,Florida,"Stuart Beach, Martin County",Surfing,16,Puncture marks in leg & surfboard dinged,N,0,1
2694,13-Oct-83,1983,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Wading,20,Lacerations to left ankle,N,0,1
2695,04-Sep-83,1983,Unprovoked,USA,Florida,"Off Lake Worth, Palm Beach County",Standing,15,Abrasions to leg,N,0,1
2696,20-Aug-83,1983,Unprovoked,USA,Oregon,"Cape Kiwanda,Tillamook County",Surfing,0,"No injury, board bitten",N,0,1
2697,20-Aug-83,1983,Unprovoked,SOUTH AFRICA,Western Cape Province,"Seal Island, False Bay",Spearfishing,29,Inner thighs lacerated,N,0,1
2698,15-Aug-83,1983,Unprovoked,USA,Virginia,"Virginia Beach, Princess Anne County",Swimming,14,Foot bitten,N,1,0
2699,13-Aug-83,1983,Provoked,USA,Florida,"Riviera Beach, Palm Beach County",Skindiving,14,Hand abraded when he grabbed shark's tail PROVOKED INCIDENT,N,0,1
2700,13-Aug-83,1983,Unprovoked,USA,Florida,"6 miles south of Boca Chica Key, Monroe County ",Diving,22,Right leg severely bitten,N,1,0
2701,06-Aug-83,1983,Boat,USA,Rhode Island,NO DATA,Fishing,0,No injury to occupants,N,0,0
2702,26-Jul-83,1983,Sea Disaster,AUSTRALIA,Queensland,"Off Lodestone Reef, Great Barrier Reef, north of Townsville",Swimming from the New Venture ,21,"FATAL, shark seized her by the chest and took her underwater ",Y,1,0
2703,25-Jul-83,1983,Sea Disaster,AUSTRALIA,Queensland,"Off Lodestone Reef, Great Barrier Reef, north of Townsville",Swimming from the New Venture ,24,"FATAL, shark bit leg, then dragged him underwater ",Y,0,1
2704,25-Jul-83,1983,Sea Disaster,AUSTRALIA,Queensland,"Off Lodestone Reef, Great Barrier Reef, north of Townsville",14 m prawn trawler New Venture capsized  & sank in heavy seas Three people in the water,28,"Left knee bitten, but survived",N,0,1
2705,15-Jul-83,1983,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Seal Point, Cape St. Francis",Surfing,0,Left arm injured by shark's tail as it swam beneath his board,N,0,1
2706,12-Jul-83,1983,Unprovoked,USA,Florida,"Caloosahatchee River, Lee County",Windsurfing,39,Left ankle nipped (3 punctures wounds),N,1,0
2707,08-Jul-83,1983,Unprovoked,BAHAMAS,Abaco Islands,Green Turtle Cay,Spearfishing,13,Lacerations to left calf,N,0,1
2708,05-Jul-83,1983,Unprovoked,USA,Florida,"Riviera Beach, Palm Beach County",Floating on air mattress,17,"No injury, shark bit air mattress, deflating it",N,0,0
2709,29-Jun-83,1983,Unprovoked,USA,Florida,"Off 12th Street, Miami Beach",Swimming,42,Left foot bitten,N,0,1
2710,22-Jun-83,1983,Unprovoked,BAHAMAS,Abaco Islands,"Off Sandy Point, Great Abaco Island",Spearfishing,15,FATAL,Y,0,1
2711,20-Jun-83,1983,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Surfing & dangling foot in water amid baitfish,21,Left foot lacerated,N,0,1
2712,15-Jun-83,1983,Unprovoked,BAHAMAS,NO DATA,Carter Cay,NO DATA,30,Lacerations to hand & foot,N,0,1
2713,15-Jun-83,1983,Invalid,ITALY,Northwest Italy,Riomaggiore (Ligura),Scuba diving,0,"No injury, shark ""harassed"" him at depth of 5 m",N,0,1
2714,Jun-83,1983,Unprovoked,BAHAMAS,Berry Islands,Whale Cay,Spearfishing,0,Lacerations to thigh & buttocks,N,0,1
2715,31-May-83,1983,Unprovoked,USA,Florida,"Intracoastal Waterway, Boca Raton, Palm Beach County",Water-skiing,21,"Left calf, knee & hands lacerated",N,0,1
2716,24-May-83,1983,Unprovoked,USA,Florida," Riviera Beach, Palm Beach County",Surfing,15,"Knocked off board by shark, no injury",N,0,1
2717,21-May-83,1983,Unprovoked,USA,Florida,"Haulover Inlet, Dade County",Surfing,22,Right foot bitten,N,0,1
2718,19-Apr-83,1983,Unprovoked,USA,Florida,NO DATA,Surfing,0,No details,UNKNOWN,0,1
2719,12-Apr-83,1983,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Bonza Bay,Fishing,27,Puncture wounds to foot,N,0,1
2720,02-Apr-83,1983,Unprovoked,USA,Florida,"Lake Worth Beach, Palm Beach County",Surfing,16,Left foot bitten,N,0,1
2721,02-Apr-83,1983,Invalid,SOUTH AFRICA,KwaZulu-Natal,Mpande,NO DATA,0,Survived,N,0,1
2722,30-Mar-83,1983,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Scottburgh,Spearfishing,17,Right calf lacerated,N,0,1
2723,22-Mar-83,1983,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon,Surfing,0,"No injury, board bitten",N,0,1
2724,10-Mar-83,1983,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Surfing,0,"Shark nudged board, no injury",N,0,1
2725,Mar-83,1983,Unprovoked,NEW CALEDONIA,Loyalty Islands,"We, Lifou",NO DATA,0,Calf bitten,N,0,0
2726,20-Feb-83,1983,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Mtunzini,Paddleskiing,16,Puncture wounds to buttocks,N,0,1
2727,24-Jan-83,1983,Provoked,USA,South Carolina,60 miles southeast of Beaufort,Fishing,43,Leg bitten by captive shark PROVOKED INCIDENT,N,0,1
2728,15-Jan-83,1983,Invalid,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,NO DATA,0,FATAL,Y,0,1
2729,10-Jan-83,1983,Unprovoked,SOUTH AFRICA,Western Cape Province,Muizenberg,Windsurfing,22,Left foot lacerated,N,0,1
2730,08-Jan-83,1983,Unprovoked,SOUTH AFRICA,Western Cape Province,Holbaai,Spearfishing,32,"No injury, rammed by shark",N,0,1
2731,Ca. 1983,1983,Unprovoked,NO DATA,English Channel,NO DATA,Swimming,0,Left leg bitten,N,0,1
2732,1983,1983,Unprovoked,VANUATU,Malampa Province,"Off the beach opposite Atchin Island, Malakula",Ran into the water,0,"FATAL, arm/shoulder severed ",Y,0,1
2733,1983,1983,Provoked,USA,North & South Carolina,NO DATA,Fishing,0,Bitten on their feet by landed sharks / lacerations only PROVOKED INCIDENTS,N,0,1
2734,Nov-82,1982,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",In waist-deep water,0,Arm bitten,N,0,1
2735,13-Oct-82,1982,Unprovoked,USA,Florida,North Dade- Interama area of Biscayne Bay,Windsurfing,26,Left foot lacerated,N,0,1
2736,30-Sep-82,1982,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Surfing,16,"No injury, pressure ding on surfboard",N,0,1
2737,30-Sep-82,1982,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Surfing,16,"No Injury, surfboard bitten",N,0,1
2738,27-Sep-82,1982,Unprovoked,USA,Florida,"Patrick Air Force Base, Brevard County",Surfing,20,Laceration to lower left leg,N,0,1
2739,25-Sep-82,1982,Unprovoked,USA,California,"Monastery Beach, Carmel Bay, Monterey County",Diving,36,Lacerations to hand,N,0,1
2740,19-Sep-82,1982,Unprovoked,USA,California,"Bear Harbor, Mendocino County",Free diving for abalone from Zodiac (submerged),28,Upper left thigh & buttocks bitten,N,0,1
2741,04-Sep-82,1982,Invalid,USA,Florida,"Hollywood Beach, Broward County",NO DATA,0,"Remains recovered from shark, but shark involvement prior to death unknown",Y,0,1
2742,29-Aug-82,1982,Unprovoked,JAPAN,Kumamoto Prefecture,Ariake Bay,NO DATA,0,FATAL,Y,0,1
2743,29-Aug-82,1982,Invalid,USA,California,"Morro Rock, Morro Bay, San Obispo County",Surfing,17,"No Injury, board bitten",N,0,1
2744,29-Aug-82,1982,Unprovoked,SOUTH AFRICA,Western Cape Province,Langebaan,Swimming,18,"Left knee, lower leg & foot bitten",N,1,0
2745,Late Aug-1982,1982,Unprovoked,TUNISIA,NO DATA,"Skanes, near Monaster",Windsurfing,0,Thigh lacerated,N,0,1
2746,31-Jul-82,1982,Invalid,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,Boogie boarding,20,"No injury, swim fin bitten",N,0,1
2747,24-Jul-82,1982,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Paddleskiing,38,"No injury, ski bitten",N,0,1
2748,24-Jul-82,1982,Unprovoked,USA,California,"Point Buchon, San Luis Obispo County",Paddle Boarding,26,"No Injury, board bitten",N,0,1
2749,19-Jul-82,1982,Unprovoked,USA,Florida,"Stuart Beach, Martin County ",Swimming,17,Left ankle bitten,N,0,1
2750, 11-Jul-1982,1982,Invalid,USA,California,"Malibu, Los Angeles County",Swimming,43,Laceration to left thigh,N,0,1
2751,01-Jul-82,1982,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Swimming,19,Laceration to left leg,N,1,0
2752,Jul-82,1982,Unprovoked,NEW CALEDONIA,South Province,"Sarcelle, Isle of Pines",NO DATA,0,Left arm bitten,N,0,0
2753,29-Jun-82,1982,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Ntlonyana Bay,Surfing,27,FATAL,Y,0,1
2754,26-Jun-82,1982,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Swimming,20,Left arm bitten,N,0,1
2755,26-Jun-82,1982,Unprovoked,BAHAMAS,Andros Islands,North Rat Cay Reef,Spearfishing ,19,Arm severed at elbow,N,0,1
2756,  25-Jun-1982,1982,Unprovoked,USA,Florida,"Ormond Beach / Daytona Beach, Volusia County",NO DATA,8,Foot bitten,N,1,0
2757,13-Jun-82,1982,Unprovoked,USA,Hawaii,"Ho'okipa Beach, Pa'ia, Maui","Sailboarding, fell into water 100 yards outside the breakwater",0,Thigh bitten 3 times,N,0,1
2758,May-82,1982,Invalid,USA,South Carolina,"Daws Island, Broad River (near Beaufort)",NO DATA,0,Human remains recovered,Y,1,0
2759,10-Mar-82,1982,Unprovoked,USA,Florida,"Palm Beach, Palm Beach County",Surfing,16,Elbow bitten,N,0,1
2760,07-Mar-82,1982,Unprovoked,AUSTRALIA,New South Wales,"Tallow Beach, Byron Bay",Surfing,20,Legs bitten  FATAL,Y,0,1
2761,Mar-82,1982,Unprovoked,NEW CALEDONIA,NO DATA,NO DATA,Spearfishing,0,Arm bitten,N,0,0
2762,28-Feb-82,1982,Unprovoked,AUSTRALIA,Tasmania,South Cape Bay,Spearfishing,32,"FATAL, body not recovered",Y,0,1
2763,27-Feb-82,1982,Unprovoked,USA,Florida,"Hobe Sound, Palm Beach County",Surfing,18,Lacerations to left hand and forearm,N,0,1
2764,17-Feb-82,1982,Provoked,SOUTH AFRICA,Western Cape Province,Mossel Bay,Fishing,0,Leg bitten above ankle by hooked shark taken aboard skiboat PROVOKED INCIDENT,N,0,1
2765,14-Feb-82,1982,Unprovoked,USA,Hawaii,"White Plains Beach, Barbers Point, O'ahu",Wading,0,Left leg bitten,N,1,0
2766,14-Feb-82,1982,Unprovoked,USA,Hawaii,"White Plains Beach, Barbers Point, O'ahu",Swimming,0,Right foot bitten,N,1,0
2767,13-Feb-82,1982,Unprovoked,USA,Florida,"Palm Beach, Palm Beach County",Swimming,75,Shark-bitten body found floating 1.5 miles offshore. Bruises suggested she may have been bitten by the shark before drowning,Y,1,0
2768,07-Feb-82,1982,Unprovoked,USA,California,"Stillwater Cove, Sonoma County",Scuba diving (submerged),0,Calf & ankle bitten,N,0,1
2769,07-Feb-82,1982,Unprovoked,USA,Florida,Elliot Key,Diving,29,"FATAL Disappeared while diving, bathing suit & diving gear recovered bore marks of shark's teeth",Y,0,1
2770,29-Jan-82,1982,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Mpekeweni,Swimming,20,Right shin & toe lacerated,N,0,1
2771,1982,1982,Boat,ITALY,Tyrrhenian Sea,"Lacona, Isola d'Elba",Boat,0,No details,UNKNOWN,0,1
2772,1982,1982,Boat,ITALY,Tyrrhenian Sea,"Biodola, Isola d'Elba",Fishing on a boat,0,No injury,N,0,1
2773,1982,1982,Unprovoked,TUNISIA,Biserta,Bechateur,Spearfishing,0,No details,UNKNOWN,0,0
2774,19-Dec-81,1981,Unprovoked,USA,California,"South Moss Beach, Spanish Bay, Monterey Peninsula",Surfing,24,"FATAL, torso bitten ",Y,0,1
2775,13-Dec-81,1981,Unprovoked,AUSTRALIA,Queensland,Green Island,NO DATA,0,Abdomen lacerated,N,0,0
2776,13-Dec-81,1981,Unprovoked,USA,Hawaii,"Nimitz Beach, Barbers Point, O'ahu","Spearfishing, but swimming on surface",0,Right leg severely bitten,N,0,1
2777,30-Nov-81,1981,Unprovoked,REUNION,Saint-Philippe,Vicendo,Spearfishing,0,Survived,N,0,1
2778,19-Oct-81,1981,Provoked,SOUTH AFRICA,Western Cape Province,Mossel Bay,Inspecting teeth of supposedly dead (hooked & shot) shark,0,Hand lacerated  PROVOKED INCIDENT,N,0,1
2779,09-Nov-81,1981,Unprovoked,USA,Hawaii,"La'au Point, Moloka'i",Diving to untangle a crab trap line from boat's propeller,59,Hand bitten,N,0,1
2780,19-Oct-81,1981,Unprovoked,USA,Florida,"Jupiter Island, Brevard County",Swimming,19,Hand & forearm bitten,N,0,1
2781,17-Oct-81,1981,Unprovoked,USA,Florida,"Palm Beach, Palm Beach County",Surfing,0,No details,UNKNOWN,0,1
2782,16-Oct-81,1981,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Surfing,17,Puncture wounds to left foot,N,0,1
2783,01-Oct-81,1981,Unprovoked,USA,Florida,"Playalinda Beach, Brevard County",Surfing,24,Laceration to right leg,N,0,1
2784,28-Sep-81,1981,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Surfing,28,5 puncture marks to hip,N,0,1
2785,27-Sep-81,1981,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,0,Lacerations to right hand,N,0,0
2786,15-Sep-81,1981,Unprovoked,USA,Florida,"Tampa Bay, Manatee County",Swimming,26,"FATAL, right calf bitten  ",Y,0,1
2787,03-Sep-81,1981,Unprovoked,USA,Florida,"Patrick Air Force Base, Brevard County",Surfing,25,Lacerations to 2 fingers of left hand,N,0,1
2788,03-Sep-81,1981,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Surfing,24,Laceration to foot,N,0,1
2789,29-Aug-81,1981,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,15,Laceration to left ankle,N,0,1
2790,24-Aug-81,1981,Provoked,USA,Florida,Gulf Island National Seashore Park,Spearfishing,19,"Shot shark, then it bit him. Puncture wounds on leg  PROVOKED INCIDENT",N,0,1
2791,24-Aug-81,1981,Invalid,USA,Hawaii,"Keaukaha, Hilo, Hawai'i",Fishing,0,Disappeared while fishing from shore. Leg found 7 days later wedged in rocks 150 yards offshore,Y,0,1
2792,10-Aug-81,1981,Unprovoked,USA,Florida,"Marathon, Monroe County",Diving,0,Bite to face,N,0,1
2793,10-Aug-81,1981,Unprovoked,USA,Florida,"Ormond Beach / Daytona Beach, Volusia County","16' catamaran capsized previous night, occupants stayed with wreckage until morning, then attempted to swim ashore",19,FATAL,Y,1,0
2794,07-Aug-81,1981,Unprovoked,BAHAMAS,Grand Bahama Island,"Gingerbread Reef, east of Little Isaac Island ",Snorkeling on surface,53,Upper right arm bitten,N,0,1
2795,20-Jul-81,1981,Unprovoked,USA,Florida,"St. Petersburg Beach, Pinellas County",Swimming,16,"Foot bitten between arch & big toe, no stitches required",N,1,0
2796,18-Jul-81,1981,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon,Surfing,32,7 lacerations to right foot,N,0,1
2797,07-Jul-81,1981,Unprovoked,USA,Florida,Carter Cay,Spearfishing,0,Left foot & ankle lacerated,N,0,1
2798,01-Jul-81,1981,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Clansthal,Catching sardines,0,Laceration to calf,N,0,1
2799,Reported 15-Jun-1981,1981,Boat,ENGLAND,NO DATA,Isle of Wight,Fishing,0,Minor injuries from shark that leapt aboard their boat,N,0,1
2800,12-Jun-81,1981,Invalid,USA,Hawaii,"Honoli'i Pali, Hilo Bay ('Alae Point), Hawai'i",NO DATA,0,"Probable drowning, 1/3 of shark-multilated body recovered",Y,0,1
2801,24-May-81,1981,Unprovoked,USA,Hawaii,"Ha'ena Beach Park, Kaua'i","Scuba diving, reportedly also spearfishing",0,"FATAL, disappeared, dive gear & shredded tooth-marked wetsuit were recovered",Y,0,1
2802,23-May-81,1981,Unprovoked,SOUTH KOREA,Chungnam,Wae-yeon Island,Shell diving,27,FATAL,Y,1,0
2803,20-May-81,1981,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon,Surfing,27,"Shark & board collided. No injury, but board was dented",N,0,1
2804,19-May-81,1981,Unprovoked,USA,Florida,"Sands Cut, Elliot Key",Free diving,32,Massive tissue damage of left arm,N,0,1
2805,16-May-81,1981,Unprovoked,USA,Florida,"Jacksonville, Duval County",Diving,0,Left arm bitten,N,0,1
2806,10-May-81,1981,Unprovoked,SOUTH AFRICA,Eastern Cape Province,King’s Beach,Surfing,19,"No Injury, board bitten",N,0,1
2807,07-May-81,1981,Provoked,NAMIBIA,Eronogo Region,Walvis Bay,Finning the shark that bit him,0,Lacerations PROVOKED INCIDENT,N,0,1
2808,08-Mar-81,1981,Sea Disaster,BERMUDA,NO DATA,NO DATA,Foundering of the Israeli freighter Mezada,0,Next day 2 bodies recovered from sharks,N,0,0
2809,05-May-81,1981,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Ntlonyane Bay,Surfing,24,"Left leg bitten, surgically amputated",N,0,1
2810,25-Mar-81,1981,Unprovoked,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",Standing / Wading,19,"Lacerations on calf, ankle & heel",N,0,1
2811,24-Mar-81,1981,Unprovoked,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",Surfing,24,Puncture wounds on  right thigh,N,0,1
2812,04-Mar-81,1981,Unprovoked,CHILE,Coquimbo,"Bahia Totoralillo, 80  km north of Coquimbo",Free diving Spearfishing,0,Foot & ankle bitten,N,0,1
2813,Mar-81,1981,Unprovoked,BRAZIL,Rio de Janeiro,Cabo Frio,Diving,0,FATAL,UNKNOWN,0,0
2814,19-Feb-81,1981,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Umtentweni,Swimming,30,Foot lacerated,N,0,1
2815,16-Feb-81,1981,Unprovoked,AUSTRALIA,Western Australia,"Leighton Beach, north of Freemantle",Exercising his dog in the shallows,0,Puncture wounds to foot,N,0,1
2816,07-Feb-81,1981,Unprovoked,AUSTRALIA,Western Australia,"Parker's Point, Rottnest Island",NO DATA,0,No details,UNKNOWN,0,0
2817,02-Feb-81,1981,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Surfing,15,Lacerations & punctures in left calf & ankle,N,0,1
2818,Feb-81,1981,Unprovoked,BRAZIL,Rio de Janeiro,Cabo Frio,Spearfishing,0,Left arm lacerated,N,0,0
2819,30-Jan-81,1981,Unprovoked,USA,Florida,20 miles from Mayport,Commercial spearfishing,25,3 small punctures in scalp & ripped nostril,N,0,1
2820,01-Jan-81,1981,Invalid,SOUTH AFRICA,KwaZulu-Natal,Widenham,Swimming,23,Probable drowning & scavenging,Y,0,1
2821,1981,1981,Unprovoked,AUSTRALIA,New South Wales,Byron Bay,Surf-skiing,27,"No injury, ski bitten",N,0,1
2822,Summer of 1981,1981,Unprovoked,GREECE,Pagasitikos Gulf,NO DATA,"Free diving / spearfishing, ",0,Minor injury,N,0,1
2823,12-30-1980,1980,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon,Paddleskiing,25,"No injury, paddleski bitten",N,0,1
2824,26-Dec-80,1980,Invalid,SOUTH AFRICA,Eastern Cape Province,Port Elizabeth,NO DATA,0,Probable drowning & scavenging,Y,0,0
2825,24-Nov-80,1980,Unprovoked,REUNION,Grand'Anse,Petite-Ile,Spearfishing,22,Bitten twice,N,0,1
2826,18-Nov-80,1980,Unprovoked,AUSTRALIA,Western Australia,Lancelin,Swimming,0,"Right shoulder bitten, puncture wounds on chest & lacerations on his back",N,0,1
2827,17-Nov-80,1980,Invalid,SOUTH AFRICA,KwaZulu-Natal,Mnini,Swimming,0,Probable  drowning & scavenging,Y,0,1
2828,11-Nov-80,1980,Unprovoked,BRAZIL,Pernambuco,Piedade,Swimming,16,FATAL,Y,0,1
2829,27-Oct-80,1980,Unprovoked,USA,Oregon,Off Umpqua River,Surfing,29,Thigh lacerated,N,0,1
2830,17-Oct-80,1980,Unprovoked,USA,California,"Moonstone Beach, Humboldt County",Surfing,19,No injury,N,0,1
2831,Reported 22-Aug-1980,1980,Unprovoked,MEXICO,NO DATA,NO DATA,Diving in tuna net,22,FATAL,Y,0,1
2832,10-Aug-80,1980,Unprovoked,USA,North Carolina,"Ocean Isle, Brunswick County",Wading,10,Bitten behind knee & lower leg,N,1,0
2833,04-Aug-80,1980,Unprovoked,USA,Hawaii,"Puamana, Lahaina, Maui",Resting on body board,0,Torso bitten,N,0,1
2834,26-Jul-80,1980,Unprovoked,SPAIN,Canary Islands,"San Juan de la Rambla, Tenerife",Skin diving,0,Thigh injured,N,0,1
2835,27-Jul-80,1980,Unprovoked,USA,New Jersey,"Ocean City, Cape May County",Body surfing,15,Back bitten,N,0,1
2836,23-Jul-80,1980,Unprovoked,USA,Delaware,Dewey Beach,Standing,22,"No injury, shark bit her bathing suit",N,1,0
2837,Late Jul-1980,1980,Unprovoked,USA,North Carolina,"Emerald Isle Pier (near Morehead City), Carteret County",Surfing,0,"No injury, bumped off board",N,0,1
2838,Early Jul-1980,1980,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,0,Lower leg bitten,N,0,1
2839,26-Jun-80,1980,Provoked,USA,California,"Off San Clemente Island, Los Angeles County",Scuba diving,44,Laceration to lower leg   PROVOKED INCIDENT,N,1,0
