,eventid,iyear,imonth,iday,country,country_txt,city,summary,crit1,crit2,crit3,doubtterr,multiple,success,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,target1,natlty1,natlty1_txt,gname,motive,individual,nperps,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weapdetail,nkill,nkillter,nwound,nwoundte,nkil
22406,198406250011,1984,6,25,217,United States,Pensacola,"6/25/1984: Mathew Goldsby, James Simmons, Katherine Simmons, and Kaye Wiggins bombed the Ladies Center in Pensacola, Florida, United States.  There were no casualties but the building was destroyed resulting in $200,000 in damages.",1,1,1,0,0,1,0,3,Bombing/Explosion,5,Abortion Related,The Ladies Center,217,United States,Anti-Abortion extremists,To protest the practice of abortion and to sabotage abortion facilities operating in Florida.  The perpetrators claimed that they carried out the attack under God's orders.,0,4,6,Explosives,28,Dynamite/TNT,12 sticks of dynamite,0.0,0,0,0,0
22468,198407040012,1984,7,4,217,United States,Torrance,"07/04/1984: The Offices of the Institute for Historical Review in Torrance, California, United States, were destroyed in an arson that caused $400,000 in damages to the one-story building and resulted in minor injuries to one fire-fighter.  The arson is believed to have been set by either a molotov cocktail that was thrown into the building or by dousing the offices in gasoline, but the perpetrators are unknown.  The Institute for Historical Review (IHR) denied the existence of the Holocaust.",1,1,1,0,0,1,0,7,Facility/Infrastructure Attack,12,NGO,Institute for Historical Review offices,217,United States,Unknown,"The Institute for Historical Review was a revisionist organization hat denied the occurrence of the Holocaust and the actions of the Nazis during WWII, stating that there was no proof that the atrocities occurred.",0,-99,8,Incendiary,18,Arson/Fire,"it is unclear how the arson was set, but authorities suspected the weapon to be either a molotov cocktail or gasoline ignited",0.0,0,1,0,0
22469,198407040013,1984,7,4,217,United States,Washington,"7/4/1984: Kenneth Shields, Thomas Spinks, and Michael Donald Bray bombed the National Abortion Federation offices in Washington, D.C., United States.  There were no casualties, but the building sustained $40,000 in damages.",1,1,1,0,0,1,0,3,Bombing/Explosion,5,Abortion Related,National Abortion Federation Washington D.C. offices,217,United States,Army of God,To protest the practice of abortion and to sabotage the National Abortion Federation.,0,3,6,Explosives,16,Unknown Explosive Type,Propane bomb,0.0,0,0,0,0
22528,198407070020,1984,7,7,217,United States,Annapolis,"7/7/1984: Kenneth Shields, Thomas Spinks, and Michael Donald Bray bombed the Planned Parenthood of Maryland in Annapolis, Maryland, United States.  There were no casualties, but the abortion clinic sustained $50,000 in damages.",1,1,1,0,0,1,0,3,Bombing/Explosion,5,Abortion Related,Planned Parenthood in Maryland,217,United States,Army of God,To protest the practice of abortion and to sabotage abortion facilities operating in Maryland.,0,3,6,Explosives,16,Unknown Explosive Type,Propane bomb,0.0,0,0,0,0
22630,198407150006,1984,7,15,217,United States,The Dalles,,1,1,1,0,0,0,0,8,Unarmed Assault,2,Government (General),Courthouse,217,United States,Rajneeshees,,0,,1,Biological,,,Salmonella,0.0,0,0,0,0
22675,198407190009,1984,7,19,217,United States,Ukiah,"07/19/1984: Twelve members of The Order took part in the robbery of a Brinks armored car, on California Highway 20, between U.S. Highway 101 and Lake Mendocino outside of Ukiah, California, in the United States, shortly after noon.  In the midst of the robbery, the perpetrators, all but one, wearing bandannas over their faces, and one dressed in disguise as a woman, used a variety of firearms to stop the Brinks truck and its drivers and steal $3.6 million.  During the event, one perpetrator held up a note, reading ""Get out or die"" (similar to the note used in the April 23 armored truck robbery in Seattle, Washington).  Even though shots were fired, there were no injuries or casualties from the robbery.  However, the tires of the Brinks truck were shot flat to stop it.  Eventually, ten people were charged with the robbery.",1,0,1,1,0,1,0,7,Facility/Infrastructure Attack,1,Business,"Brink's US armored truck, and the three Brink's guards inside the truck",217,United States,The Order (Silent Brotherhood),"The Order (Silent Brotherhood) was a white supremacist group that was anti-government, against Jews and other minorities, and sought to start a race war and overthrow the government.  In particular, they used the robbery money to finance their revolution by buying equipment, literature, and as incentive for recruits for their cause, as well as to secure loyalty from members. The money from this robbery in particular was also donated to Identity preachers, KKK members, other neo-Nazis, the White Aryan Resistance, a racist college professor, and used to establish a surrogate mother program to support a sperm bank for the future of Aryan warriors.",0,12,5,Firearms,4,Rifle/Shotgun (non-automatic),9mm H&K rifle; 469 Smith & Wesson 9mm pistol; two Heckler & Koch .308 caliber semi-automatic rifles; AR-15 .223 rifle; Israeli 9mm Uzi; Ingram MAC-10 automatic machine pistol,0.0,0,0,0,0
22787,198408010007,1984,8,1,217,United States,Denver,"08/01/1984: A Hare Krishna temple was firebombed in Denver, Colorado, United States, causing $200,000 in damage.  There were no casualties in the incident. Edward Flinton and James Williams, members of the Al-Fuqra Muslin sect, was arrested, charged with arson, and indicted for the crime years later.",1,1,1,0,0,1,0,7,Facility/Infrastructure Attack,15,Religious Figures/Institutions,Hare Krishna temple in Denver,217,United States,Jamaat-al-Fuqra,"Jamaat-al-Fuqra was an Islamic fundamentalist sect that  was against the oppression of Muslims and sought Islamic purity; the group often targeted Hare Krishna temples, and Islamic and Hindu places of worship.",0,2,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,firebomb,0.0,0,0,0,0
22977,198408200007,1984,8,20,217,United States,Houston,"8/20/1984: Unknown perpetrators firebombed the AB Clinic in Houston, Texas, United States.  There were no casualties but the building was destroyed resulting in $30,000 in damages.",1,1,1,0,0,1,0,7,Facility/Infrastructure Attack,5,Abortion Related,AB Clinic,217,United States,Anti-Abortion extremists,To protest the practice of abortion and to sabotage abortion facilities operating in Texas.,0,-99,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,Molotov cocktail,0.0,0,0,0,0
22990,198408220001,1984,8,22,217,United States,Melville,,1,1,1,0,0,1,0,3,Bombing/Explosion,1,Business,"General Electric Company, sales office *",217,United States,United Freedom Front (UFF),,0,,6,Explosives,16,Unknown Explosive Type,Explosive,0.0,,0,,0
23101,198408290011,1984,8,29,217,United States,The Dalles,,1,1,1,0,0,1,0,8,Unarmed Assault,2,Government (General),Judge William Hulse,217,United States,Rajneeshees,,0,,1,Biological,,,Salmonella,0.0,0,2,0,0
23224,198409070008,1984,9,7,217,United States,Houston,"9/7/1984:  In a series of incidents that might have been related, unknown perpetrators threw a Molotov cocktail into the West Loop Clinic in Houston, Texas, United States.  There were no casualties but the abortion clinic sustained $90,000 in damages.",1,1,1,0,1,1,0,7,Facility/Infrastructure Attack,5,Abortion Related,West Loop Clinic,217,United States,Anti-Abortion extremists,To protest the practice of abortion and to sabotage abortion facilities operating in Texas.,0,-99,8,Incendiary,18,Arson/Fire,Molotov cocktail,0.0,0,0,0,0
23225,198409070009,1984,9,7,217,United States,Houston,"9/7/1984: In a series of incidents that might have been related, unknown perpetrators threw a Molotov cocktail into the Women's Outpatient Clinic in Houston, Texas, United States.  There were no casualties, but the health care facility sustained $10,000 in damages.",1,1,1,0,1,1,0,7,Facility/Infrastructure Attack,5,Abortion Related,Women's Outpatient Clinic,217,United States,Anti-Abortion extremists,To protest the practice of abortion and to sabotage abortion facilities operating in Texas.,0,-99,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,Molotov cocktail,0.0,0,0,0,0
23229,198409080004,1984,9,8,217,United States,Houston,"9/8/1984: Unknown perpetrators failed in their attempts to ignite a fire at the Concerned Women's Center Care Clinic in Houston, Texas, United States.",1,1,1,0,0,0,0,7,Facility/Infrastructure Attack,5,Abortion Related,Concerned Women's Center Care Clinic,217,United States,Anti-Abortion extremists,To protest the practice of abortion and to sabotage abortion facilities operating in Texas.,0,-99,8,Incendiary,18,Arson/Fire,,0.0,0,0,0,0
23233,198409090004,1984,9,9,217,United States,The Dalles,,1,1,1,0,0,1,0,8,Unarmed Assault,1,Business,Food in Restaurants,217,United States,Rajneeshees,,0,,1,Biological,,,Salmonella,0.0,0,25,0,0
23234,198409090005,1984,9,9,217,United States,Webster,"9/9/1984: An unidentified male perpetrator attempted to bomb the Clear Lake Women's Center in Webster, Texas, United States.  However, the bomb malfunctioned so he attempted to set the facility on fire.  There were no casualties but the building was damaged.",1,1,1,0,0,1,0,3,Bombing/Explosion,5,Abortion Related,Clear Lake Women's Center,217,United States,Anti-Abortion extremists,To protest the practice of abortion and to sabotage abortion facilities operating in Texas.,0,1,6,Explosives,16,Unknown Explosive Type,,0.0,0,0,0,0
23265,198409130001,1984,9,13,217,United States,San Juan,,1,1,1,0,0,1,0,3,Bombing/Explosion,21,Utilities,2 Relay Towers,217,United States,Unknown,,0,,6,Explosives,16,Unknown Explosive Type,Explosive,0.0,,0,,0
23272,198409130009,1984,9,13,217,United States,San Diego,"9/13/1984: Unknown perpetrators firebombed the Birth Control Institute in San Diego, California, United States.  There were no casualties, but the health care center sustained $200,000 in damages.",1,1,1,0,0,1,0,7,Facility/Infrastructure Attack,5,Abortion Related,The Birth Control Institute,217,United States,Anti-Abortion extremists,To protest the practice of abortion and to sabotage abortion facilities operating in California.,0,-99,8,Incendiary,18,Arson/Fire,,0.0,0,0,0,0
23273,198409130010,1984,9,13,217,United States,Atlanta,"9/13/1984:  Unknown perpetrators threw a Molotov cocktail into the Northside Family Planning Services clinic in Atlanta, Georgia, United States.  There were no casualties, but the abortion clinic sustained $5,000 in damages.",1,1,1,0,0,1,0,7,Facility/Infrastructure Attack,5,Abortion Related,Northside Family Planning Services,217,United States,Anti-Abortion extremists,To protest the practice of abortion and to sabotage abortion facilities operating in Georgia.,0,-99,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,Molotov cocktail,0.0,0,0,0,0
23314,198409200009,1984,9,20,217,United States,The Dalles,,1,1,1,0,0,1,0,8,Unarmed Assault,1,Business,Salad Bars,217,United States,Rajneeshees,,0,,1,Biological,,,Salmonella,0.0,0,751,0,0
23315,198409200010,1984,9,20,217,United States,Marietta,"9/20/1984: Unknown perpetrators threw a Molotov cocktail into the Planned Parenthood of Cobb County in Marietta, Georgia, United States.  There were no casualties but the health care facility sustained $15,000 in damages.",1,1,1,0,0,1,0,7,Facility/Infrastructure Attack,5,Abortion Related,Planned Parenthood of Cobb County,217,United States,Anti-Abortion extremists,To protest the practice of abortion and to sabotage Planned Parenthood facilities operating in Georgia.,0,-99,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,Molotov cocktail,0.0,0,0,0,0
23356,198409260002,1984,9,26,217,United States,New York City,,1,1,1,0,0,1,0,3,Bombing/Explosion,7,Government (Diplomatic),"South African Consulate, 425 Park Avenue, 55th & 56th Sts.",183,South Africa,May 19 Communist Order,,0,,6,Explosives,16,Unknown Explosive Type,Explosive,0.0,,0,,0
23357,198409260003,1984,9,26,217,United States,Tarrytown,,1,1,1,0,0,1,0,3,Bombing/Explosion,1,Business,Union Carbide Corporation building  (4 story silicone bldg.),217,United States,United Freedom Front (UFF),,0,,6,Explosives,28,Dynamite/TNT,Explosive; Dynamite,0.0,,0,,0
23499,198410150009,1984,10,15,217,United States,Eureka,"10/15/1984: Unknown perpetrators ignited a fire at the rear of the Planned Parenthood Association of Humboldt County in Eureka, California, United States.  There were no casualties,  but the abortion clinic sustained minor damage.",1,1,1,0,0,1,0,7,Facility/Infrastructure Attack,5,Abortion Related,Planned Parenthood Association of Humboldt County,217,United States,Anti-Abortion extremists,To protest the practice of abortion and to sabotage abortion facilities operating in California.,0,-99,8,Incendiary,18,Arson/Fire,Box of debris pushed up against the building and ignited on fire.,0.0,0,0,0,0
23660,198411030010,1984,11,3,217,United States,Washington,"11/3/1984:  Kenneth Shields, Thomas Spinks, and Michael Donald Bray bombed the American Civil Liberties Union office in Washington, D.C., United States.  There were no casualties but the building sustained minor damage.",1,1,1,0,0,1,0,3,Bombing/Explosion,5,Abortion Related,"American Civil Liberties Union office, Washington DC",217,United States,Army of God,To protest the practice of abortion and to sabotage organizations who support abortion.,0,3,6,Explosives,16,Unknown Explosive Type,Explosive device,0.0,0,0,0,0
23717,198411110008,1984,11,11,217,United States,Houston,"11/11/1984: Unknown perpetrators set fire to the Colored Women's Center at Alameda Medical Square in Houston, Texas, United States.  There were no casualties, but the abortion clinic sustained $400,000 in damages.",1,1,1,0,0,1,0,7,Facility/Infrastructure Attack,5,Abortion Related,Colored Women's Center at Alameda Medical Square,217,United States,Anti-Abortion extremists,To protest the practice of abortion and to sabotage abortion facilities operating in Texas.,0,-99,8,Incendiary,18,Arson/Fire,,0.0,0,0,0,0
23794,198411190007,1984,11,19,217,United States,Rockville,"11/19/1984: In a series of two attacks, Kenneth Shields, Thomas Spinks, and Michael Donald Bray bombed the Randolph Medical Clinic in Rockville, Maryland, United States.  There were no casualties, but the abortion facility sustained $50,000 in damages.",1,1,1,0,1,1,0,3,Bombing/Explosion,5,Abortion Related,Randolph Medical Clinic,217,United States,Army of God,To protest the practice of abortion and to sabotage abortion facilities operating in Maryland.,0,3,6,Explosives,16,Unknown Explosive Type,Two bombs,0.0,0,0,0,0
23795,198411190008,1984,11,19,217,United States,Wheaton,"11/19/1984: In a series of two attacks, Kenneth Shields, Thomas Spinks, and Michael Donald Bray bombed the Metropolitan Medical and Women's Center in Wheaton, Maryland, United States.  There were no casualties, but the abortion facility was destroyed resulting in $500,000 in damages.",1,1,1,0,1,1,0,3,Bombing/Explosion,5,Abortion Related,Metropolitan Medical & Women's Clinic,217,United States,Army of God,To protest the practice of abortion and to sabotage abortion facilities operating in Maryland.,0,3,6,Explosives,31,Pipe Bomb,,0.0,0,0,0,0
23933,198412100005,1984,12,10,217,United States,Ponce,"12/10/1984:  A high-order explosive detonated at the United States Marine Corps Recruiting Office in Ponce, Puerto Rico.  The explosion caused about $5,000 worth of structural damages to the office, but there were no casualties in the incident.  A small group, called the Organization of Volunteers for the Puerto Rican Revolution (OVRP) claimed responsibility for the blast in a telephone call to a local Puerto Rican news agency, stating that the reason for the attack was to protest United States involvement in Nicaragua. This incident is linked to four other similar bombings on the same day by OVRP in various parts of Puerto Rico (198412100006,198412100007,198412100008).",1,1,1,0,1,1,0,3,Bombing/Explosion,4,Military,recruiting office,217,United States,Organization of Volunteers for the Puerto Rican Revolution,The motive for the attack was to protest United States involvement in Nicaragua.,0,-99,6,Explosives,16,Unknown Explosive Type,high-order explosive device,0.0,0,0,0,0
23934,198412100006,1984,12,10,217,United States,Rio Piedras,"12/10/1984:  A high-order explosive detonated at the University of Puerto Rico in Rio Piedras, Puerto Rico.  The explosion, which occurred at the entrance to the building housing the dean of students' office, caused property damage, but there were no casualties in the incident.  A small group, called the Organization of Volunteers for the Puerto Rican Revolution (OVRP) claimed responsibility for the blast in a telephone call to a local Puerto Rican news agency, stating that the reason for the attack was to protest United States involvement in Nicaragua. This incident is linked to four other similar bombings on the same day by OVRP in various parts of Puerto Rico (198412100005,198412100007,198412100008).",1,1,1,0,1,1,0,3,Bombing/Explosion,8,Educational Institution,University of Puerto Rico Rio Piedras campus,163,Puerto Rico,Organization of Volunteers for the Puerto Rican Revolution,The motive for the attack was to protest United States involvement in Nicaragua.,0,-99,6,Explosives,16,Unknown Explosive Type,high-order explosive device,0.0,0,0,0,0
23935,198412100007,1984,12,10,217,United States,Cayey,"12/10/1984:  An explosive device was found at the main entrance of the United States Army Recruiting Office in Cayey, Puerto Rico.  The device, which was concealed in a paper bag, was retrieved before it detonated.   Although there was no claim of responsibility for this incident, the authorities attributed the attempted bombing to the Organization of Volunteers for the Puerto Rican Revolution (OVRP) due to the similarity in the device used. This incident is linked to four other similar bombings on the same day by OVRP in various parts of Puerto Rico (198412100005,198412100006,198412100008).",1,1,1,0,1,0,0,3,Bombing/Explosion,4,Military,recruiting office,217,United States,Organization of Volunteers for the Puerto Rican Revolution,The motive for the attack was to protest United States involvement in Nicaragua.,0,-99,6,Explosives,17,Other Explosive Type,explosive device concealed in a paper bag,0.0,0,0,0,0
23936,198412100008,1984,12,10,217,United States,Levittown,"12/10/1984:  A high-order explosive detonated at the Puerto Rican National Guard Academy in Levittown, Puerto Rico.  No casualties resulted from the incident, but it is unknown whether there was any property damage.  A local Puerto Rican radio station quoted a media source in reporting that the Organization of Volunteers for the Puerto Rican Revolution (OVRP) claimed responsibility for the incident, stating that the reason for the bombing was to protest the United States involvement in Nicaragua.  This incident is linked to four other similar bombings on the same day by OVRP in various parts of Puerto Rico (198412100005,198412100006,198412100007).",1,1,1,0,1,1,0,3,Bombing/Explosion,4,Military,national guard academy,217,United States,Organization of Volunteers for the Puerto Rican Revolution,The motive for the attack was to protest United States involvement in Nicaragua.,0,-99,6,Explosives,16,Unknown Explosive Type,high-order explosive device,0.0,0,0,0,0
23937,198412100009,1984,12,10,217,United States,Mayaguez,"12/10/1984:  An attempted bombing occurred at the United States Army Recruiting Center on Barbossa Street in Mayaguez, Puerto Rico.  The bomb was an improvised explosive device which was placed on an air conditioner outside the building, but retrieved before it exploded.  A small group, called the Organization of Volunteers for the Puerto Rican Revolution (OVRP) claimed responsibility for the blast in a telephone call to the Associated Press.",1,1,1,0,1,0,0,3,Bombing/Explosion,4,Military,recruiting center,217,United States,Organization of Volunteers for the Puerto Rican Revolution,The motive for the attack was to protest United States involvement in Nicaragua.,0,-99,6,Explosives,16,Unknown Explosive Type,IED,0.0,0,0,0,0
24021,198412240005,1984,12,24,217,United States,Suitland,"12/24/1984: Kenneth Shields, Thomas Spinks, and Michael Donald Bray placed a bomb in an office building in Suitland, Maryland, United States, that housed the Metropolitan Family Planning Center.  There no were casualties but IRS offices and a hair salon housed in the building was damaged.  The abortion clinic remained unscathed.",1,1,1,0,0,1,0,3,Bombing/Explosion,5,Abortion Related,Metropolitan Family Planning Center,217,United States,Army of God,To protest the practice of abortion and to sabotage abortion facilities operating in Maryland.,0,3,6,Explosives,16,Unknown Explosive Type,Explosive device,0.0,0,0,0,0
24028,198412250008,1984,12,25,217,United States,Pensacola,"12/25/1984: In a series of related attacks, Mathew Goldsby, James Simmons, Katherine Simmons, and Kaye Wiggins bombed a clinic owned by Doctor William Permenter, a gynecologists who performed abortions in Pensacola, Florida, United States.  There were no casualties but the building sustained 100,000 in damages.",1,1,1,0,1,1,0,3,Bombing/Explosion,5,Abortion Related,Clinic owned by Dr. William Permenter,217,United States,Anti-Abortion extremists,To protest the practice of abortion and to sabotage abortion facilities operating in Florida.  The perpetrators claimed that they carried out the attack under God's orders.,0,4,6,Explosives,16,Unknown Explosive Type,Sophisticated bomb,0.0,0,0,0,0
24029,198412250009,1984,12,25,217,United States,Pensacola,"12/25/1984: In a series of related attacks, Mathew Goldsby, James Simmons, Katherine Simmons, and Kaye Wiggins bombed a clinic owned by Doctor Bo Bagenholm, a gynecologists who performed abortions in Pensacola, Florida, United States.  There were no casualties but the building sustained 100,000 in damages.",1,1,1,0,1,1,0,3,Bombing/Explosion,5,Abortion Related,Clinic owned by Dr. Bo Bagenholm,217,United States,Anti-Abortion extremists,To protest the practice of abortion and to sabotage abortion facilities operating in Florida.  The perpetrators claimed that they carried out the attack under God's orders.,0,4,6,Explosives,16,Unknown Explosive Type,Sophisticated bomb,0.0,0,0,0,0
24030,198412250010,1984,12,25,217,United States,Pensacola,"12/25/1984: In a series of related attacks, Mathew Goldsby, James Simmons, Katherine Simmons, and Kaye Wiggins bombed the Ladies Center in Pensacola, Florida, United States.  There were no casualties but the building sustained 162,500 in damages.",1,1,1,0,1,1,0,3,Bombing/Explosion,5,Abortion Related,The Ladies Center,217,United States,Anti-Abortion extremists,To protest the practice of abortion and to sabotage abortion facilities operating in Florida.  The perpetrators claimed that they carried out the attack under God's orders.,0,4,6,Explosives,31,Pipe Bomb,Large black power pipe bomb,0.0,0,0,0,0
24095,198501010010,1985,1,1,217,United States,Washington,"1/1/1985: Kenneth Shields, Thomas Spinks, and Michael Donald Bray bombed the Hillcrest Women's Surgi-Center in Washington, D.C., United States.  There were no casualties but the building sustained over $100,000 in damages.  Twelve hours after the bomb detonated, a member claiming to be from the Army of God took credit for the incident.",1,1,1,0,0,1,0,3,Bombing/Explosion,5,Abortion Related,Hillcrest Women's Surgi-Center,217,United States,Army of God,To protest the practice of abortion and to sabotage abortion facilities operating in Washington DC.,0,3,6,Explosives,16,Unknown Explosive Type,,0.0,0,0,0,0
24264,198501250009,1985,1,25,217,United States,San Juan,"01/25/1985:  A light antitank weapon, namely a bazooka rocket, was fired at the United States Courthouse in Old San Juan, Puerto Rico, striking the back of the fourth floor of the courthouse building.  No casualties resulted from the incident, but the attack caused damage to a wall of the building as well as shattered a window.  Both Los Macheteros and the Organization of Volunteers for the Puerto Rican Revolution were responsible for the attack, which they claimed in a joint communiqué five days later, stating that the attack was in memory of the Puerto Rican Revolutionary, Juan Antonio Corretjer, who had died the week earlier, but as a poet and advocate of Puerto Rican Independence, he spent much of his life fighting against ""Yankee Imperialism.""",1,1,1,0,0,1,0,3,Bombing/Explosion,2,Government (General),US courthouse in Old San Juan,163,Puerto Rico,Macheteros,"The attack was meant to be in memory of the Puerto Rican Revolutionary, Juan Antonio Corretjer, who had died the week earlier, but as a poet and advocate of Puerto Rican Independence, he spent much of his life fighting against ""Yankee Imperialism.""  The groups were fighting for Puerto Rican Independence.",0,-99,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",light antitank bazooka rocket,0.0,0,0,0,0
24420,198502180001,1985,2,18,217,United States,New York City,,1,1,1,0,0,0,0,3,Bombing/Explosion,7,Government (Diplomatic),Car,359,Soviet Union,Jewish Defense League (JDL),,0,,6,Explosives,15,Vehicle,Explosive,0.0,,0,,0
24464,198502220011,1985,2,22,217,United States,Mesquite,"2/22/1985: Unknown perpetrators set fire to the Women's Clinic of Mesquite in Mesquite, Texas, United States.  Two firefighters were injured fighting the blaze.  The abortion clinic was destroyed as well as twenty two other businesses located in the same shopping center.  Total damages amounted to $1.5 million.",1,1,1,0,0,1,0,7,Facility/Infrastructure Attack,5,Abortion Related,Women's Clinic of Mesquite,217,United States,Anti-Abortion extremists,To protest the practice of abortion and to sabotage abortion facilities operating in Texas.,0,-99,8,Incendiary,20,Gasoline or Alcohol,Gasoline poured into waiting room and ignited on fire.,0.0,0,2,0,0
24465,198502230001,1985,2,23,217,United States,New York City,,1,1,1,0,0,1,0,3,Bombing/Explosion,3,Police,Headquarters,217,United States,May 19 Communist Order,,0,2,6,Explosives,28,Dynamite/TNT,Explosive,0.0,,0,,0
24592,198503160008,1985,3,16,217,United States,San Diego,"3/16/1985: Shane Cameron threw a Molotov cocktail into the Birth Control Institute in San Diego, California, United States.  There were no casualties but the building sustained $10,000 in damages.",1,1,1,0,0,1,0,7,Facility/Infrastructure Attack,5,Abortion Related,The Birth Control Institute,217,United States,Anti-Abortion extremists,To protest the practice of abortion and to sabotage abortion facilities operating in California.,0,1,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,Molotov cocktail,0.0,0,0,0,0
24796,198504150003,1985,4,15,217,United States,New York City,,0,1,1,-9,0,0,0,8,Unarmed Assault,9,Food or Water Supply,Water Supply serving NYC,217,United States,Unknown,,0,1,3,Radiological,,,Plutonium,0.0,0,0,0,0
24821,198504220003,1985,4,22,217,United States,Venice,"04/22/1985: An explosive device was found near the ticket office window in the foyer of the Fox Theater in Venice, California, United States.  The device did not detonate and was rendered safe.  No one claimed responsibility for planting the device, but authorities suspected  Jewish extremists to be responsible as the theater was showing Soviet-made films at the time of the incident.",1,1,1,1,0,0,0,3,Bombing/Explosion,1,Business,theater featuring Soviet-made films,217,United States,Jewish Extremists,"Unknown, but suspected to be the fact that the theater was showing Soviet-made films at the time of the incident",0,-99,6,Explosives,16,Unknown Explosive Type,,0.0,0,0,0,0
25099,198505150011,1985,5,15,217,United States,Berkeley,,1,1,1,0,0,1,0,3,Bombing/Explosion,8,Educational Institution,"John Hauser, Berkley Graduate Student & Air Force Captain",217,United States,Anti-Technology extremists,,1,1,6,Explosives,16,Unknown Explosive Type,Explosive,0.0,,1,,0
25103,198505150015,1985,5,15,217,United States,Northridge,"05/15/1985: A pipe bomb exploded outside the front door of the Northridge home of Dr. George Ashley in San Fernando Valley, just 24 miles northwest of Los Angeles, California, United States. Dr. Ashley was a former high school teacher and an advisor at the Institute for Historical Review, a private research organization in Torrance, California, which has maintained that the Holocaust never occurred. No one was injured in the incident, but the blast destroyed the front door and caused about $1,000 in property damage.  Prior to the explosion, the sidewalk outside the home had been spray-painted with the letters ""JDL.""  Though no one claimed credit for the bombing and the Jewish Defense League (JDL) actually denied responsibility, authorities believe it was the action of the JDL, as Ashley's house had been previously broken into and vandalized with slogans saying ""Never Again"" and ""No More Holocaust.""",1,1,1,0,0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,"Dr. George Ashley, former high school teacher and advisor at the Institute for Historical Review",217,United States,Jewish Defense League (JDL),"Ashley had argued that accounts of Nazi genocide against Jews during World War II are exaggerated, and he worked the Institute for Historical Review, an organization that believed that the Holocaust never occurred.",0,-99,6,Explosives,31,Pipe Bomb,pipe bomb (its contents included the use of a propane canister),0.0,0,0,0,0
25311,198506020008,1985,6,2,217,United States,Cleveland,"06/02/1985: The east side home of a black family in the Slavic neighborhood of Cleveland, Ohio, United States, was firebombed by an explosive that was thrown through a window of the home, resulting in the death of elderly black woman, Mabel Gant, who burned to death as she was trapped in her first floor bedroom during the fire.  Two white teenagers from the neighborhood were arrested as suspects and authorities were searching for additional suspects.  The Gant family was one of few black families in the white Polish neighborhood, and authorities confirmed that the gasoline bombing was racially motivated. This was one of several in a wave of racially motivated incidents in the area as well as other states at the time.",1,1,1,1,0,1,0,7,Facility/Infrastructure Attack,14,Private Citizens & Property,home of a black family in a predominantly white neighborhood,217,United States,White extremists,Racially motivated; the Gant family was one of only a few black families in a predominantly white neighborhood,0,-99,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,gasoline firebomb thrown through window of home,1.0,0,0,0,1
25435,198506130008,1985,6,13,217,United States,Auburn,,1,1,1,-9,0,1,0,3,Bombing/Explosion,1,Business,Fabrication Division of Boeing,217,United States,Anti-Technology extremists,,1,1,6,Explosives,9,Letter Bomb,Explosive,0.0,,0,,0
25531,198506220006,1985,6,22,217,United States,Houston,"06/22/1985: Two bombs exploded in the Moslem prayer room at the Daar Us Salaam mosque in Houston, Texas, United States, about an hour after worshippers left the mosque.  There were no casualties in the incident, but the explosions caused about $50,000 in damages.  Daniel Allen Russell, Randy James Jones, and Stephen C. Ahern, all of Houston, were all charged and sentenced after their admissions to constructing and planting the bombs in the mosque.  It appears that the perpetrators acted independently of any group, and their reasons for the bombing, while conflicting, are suspected to be in retaliation and anger over American hostages being held in Lebanon during the Shiite Moslem hijacking of passengers aboard TWA Flight 847.  The bombing came in the midst of threatening phone calls to several area mosques and Islamic society headquarters after the hostage situation in Beirut.",1,1,1,1,0,1,0,3,Bombing/Explosion,15,Religious Figures/Institutions,mosque,217,United States,Anti-Muslim extremists,"Though there is conflicting information, the motive seems to be that the perpetrators were angry and retaliating for the holding of American hostages in Beirut during the Shiite Moslem hijacking of TWA Flight 847.",1,3,6,Explosives,14,Time Fuse,"homemade bombs built using galvanized pipes, black powder and a propane cylinder and a fuse",0.0,0,0,0,0
25625,198507030002,1985,7,3,217,United States,Fajardo,"07/03/1985: An explosive device was discovered at an Army-Navy recruiting station in Fajardo, Puerto Rico.  The device, which was rendered safe at the scene, is suspected to have been planted by the Organization of Volunteers for the Puerto Rican Revolution based on the modus operandi. There were no casualties nor property damage in the incident.",1,1,1,0,0,0,0,3,Bombing/Explosion,4,Military,"Army-Navy Recruiting Station in Fajardo, Puerto Rico",163,Puerto Rico,Organization of Volunteers for the Puerto Rican Revolution,Unknown,0,-99,6,Explosives,16,Unknown Explosive Type,,0.0,0,0,0,0
25910,198508070007,1985,8,7,217,United States,Boston,,1,1,1,0,0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,Dump,217,United States,Jewish Defense League (JDL),,0,,6,Explosives,16,Unknown Explosive Type,Explosive,0.0,,2,,0
